source	score	norm	pval
CUI_DEVELOPING_HEART_C8_MACROPHAGE	0.7680938	2.8066177	0.0
MANNO_MIDBRAIN_NEUROTYPES_BASAL	0.77255577	2.1677878	0.0
VANGURP_PANCREATIC_BETA_CELL	0.63303417	2.0067933	0.0
GOBP_REGULATION_OF_ENDOTHELIAL_CELL_CHEMOTAXIS	0.79995275	1.8906249	0.0
KEGG_OXIDATIVE_PHOSPHORYLATION	0.69301724	2.1181135	0.0
GOBP_ERYTHROCYTE_HOMEOSTASIS	0.5319118	1.6660192	0.0
GOBP_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.56968296	1.8506328	0.0
GOBP_PLASMINOGEN_ACTIVATION	0.8040637	1.8752918	0.0
DESCARTES_FETAL_LUNG_MYELOID_CELLS	0.7756225	2.482963	0.0
GOBP_CHEMOKINE_PRODUCTION	0.6951188	1.987261	0.0
GOBP_REGULATION_OF_AXONOGENESIS	0.56965744	1.8399513	0.0
ZHONG_PFC_C2_THY1_POS_OPC	0.79378915	1.9379525	0.0
GOBP_CELL_KILLING	0.48755842	1.6364113	0.0
GOBP_REGULATION_OF_PLASMINOGEN_ACTIVATION	0.86408	1.9463605	0.0
DESCARTES_FETAL_INTESTINE_MYELOID_CELLS	0.73567283	2.533211	0.0
AIZARANI_LIVER_C34_MHC_II_POS_B_CELLS	0.5772767	1.8266916	0.0
AIZARANI_LIVER_C3_NK_NKT_CELLS_2	0.6591684	2.1794794	0.0
DESCARTES_FETAL_INTESTINE_MESOTHELIAL_CELLS	0.67178756	1.9341114	0.0
HALLMARK_ALLOGRAFT_REJECTION	0.48746854	1.6316215	0.0
AIZARANI_LIVER_C2_KUPFFER_CELLS_1	0.73773646	2.591062	0.0
DESCARTES_FETAL_CEREBRUM_OLIGODENDROCYTES	0.8475423	2.305039	0.0
DESCARTES_FETAL_EYE_MICROGLIA	0.8193762	2.8285923	0.0
TRAVAGLINI_LUNG_IGSF21_DENDRITIC_CELL	0.70958555	1.9130691	0.0
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_FOLD	-0.78303874	-1.7190994	0.0
GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	0.49768275	1.7623647	0.0
GOBP_POSITIVE_REGULATION_OF_NEUROGENESIS	0.5056805	1.744651	0.0
BUSSLINGER_GASTRIC_REG3A_POSITIVE_CELLS	0.72934866	1.8789897	0.0
CUI_DEVELOPING_HEART_C5_VALVAR_CELL	0.55239546	1.9582324	0.0
CUI_DEVELOPING_HEART_C7_MAST_CELL	0.5839102	1.9505163	0.0
GOBP_REGULATION_OF_EXTENT_OF_CELL_GROWTH	0.64983463	1.9408805	0.0
GOBP_GLIAL_CELL_ACTIVATION	0.76147354	1.920936	0.0
TRAVAGLINI_LUNG_BRONCHIAL_VESSEL_1_CELL	0.66145295	2.3732498	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_C6_LEUKOCYTE	0.64682865	2.3920288	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_LEUKOCYTE_C0_M1_MACROPHAGE	0.72968537	2.5929308	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_LEUKOCYTE_C1_M2_MACROPHAGE	0.66444546	2.1049507	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_LEUKOCYTE_C2_T_CELL	0.62981236	1.9434727	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_STROMAL_C3_FIBROCARTILAGE_CHONDROCYTE	0.6269089	1.833843	0.0
GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	0.69415057	2.039967	0.0
GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	0.49454808	1.6287317	0.0
RUBENSTEIN_SKELETAL_MUSCLE_FBN1_FAP_CELLS	0.54444337	1.9838628	0.0
RUBENSTEIN_SKELETAL_MUSCLE_MYELOID_CELLS	0.741766	2.7391503	0.0
RUBENSTEIN_SKELETAL_MUSCLE_NK_CELLS	0.6465325	2.2478998	0.0
RUBENSTEIN_SKELETAL_MUSCLE_PCV_ENDOTHELIAL_CELLS	0.59937733	2.1024053	0.0
GAO_LARGE_INTESTINE_ADULT_CI_MESENCHYMAL_CELLS	0.4952315	1.8439566	0.0
GOBP_MYELOID_LEUKOCYTE_MIGRATION	0.48083696	1.6417418	0.0
GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION	0.4767989	1.7048564	0.0
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.48684624	1.6765475	0.0
GOBP_CELLULAR_RESPONSE_TO_COCAINE	-0.9409135	-1.6403081	0.0
FAN_EMBRYONIC_CTX_NSC_2	0.42935067	1.551156	0.0
FAN_EMBRYONIC_CTX_OPC	0.8495787	2.3437006	0.0
FAN_OVARY_CL0_XBP1_SELK_HIGH_STROMAL_CELL	0.7131384	2.3346996	0.0
FAN_OVARY_CL12_T_LYMPHOCYTE_NK_CELL_2	0.64281994	2.1059637	0.0
FAN_OVARY_CL14_MATURE_SMOOTH_MUSCLE_CELL	0.5238927	1.9010981	0.0
FAN_OVARY_CL16_LYMPHATIC_ENDOTHELIAL_CELL	0.46769783	1.6417338	0.0
FAN_OVARY_CL2_PUTATIVE_EARLY_ATRETIC_FOLLICLE_THECAL_CELL_1	0.7671574	2.4117947	0.0
GOBP_POSITIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	0.5491657	1.6998211	0.0
TRAVAGLINI_LUNG_CLUB_CELL	0.7898031	2.483209	0.0
DESCARTES_FETAL_ADRENAL_MYELOID_CELLS	0.7842059	2.611735	0.0
DESCARTES_FETAL_MUSCLE_MYELOID_CELLS	0.76221	2.527255	0.0
DESCARTES_FETAL_MUSCLE_SCHWANN_CELLS	0.6866979	2.2153013	0.0
SU_HO_CONV_CENT_CHONDROSARCOMA_C4_HIGH_GRADE_CHONDROSARCOMA_1	0.7178458	2.2194474	0.0
DESCARTES_FETAL_PANCREAS_CCL19_CCL21_POSITIVE_CELLS	0.7650696	1.8015273	0.0
BUSSLINGER_DUODENAL_DIFFERENTIATING_STEM_CELLS	0.7004268	2.4722009	0.0
ZHENG_CORD_BLOOD_C5_SIMILAR_TO_HSC_C6_PUTATIVE_ALTERED_METABOLIC_STATE	0.6233296	1.7280649	0.0
GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	0.71778196	1.9142785	0.0
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	0.65079904	1.7182572	0.0
BUSSLINGER_GASTRIC_PPP1R1B_POSITIVE_CELLS	0.8380399	2.6661289	0.0
MANNO_MIDBRAIN_NEUROTYPES_HOPC	0.60790336	2.2842991	0.0
DESCARTES_FETAL_PANCREAS_MYELOID_CELLS	0.74624366	2.508206	0.0
GOBP_BODY_FLUID_SECRETION	0.60957175	1.7473755	0.0
TRAVAGLINI_LUNG_AIRWAY_SMOOTH_MUSCLE_CELL	0.5549236	1.8584613	0.0
DESCARTES_FETAL_PLACENTA_MYELOID_CELLS	0.7470803	2.4654849	0.0
KEGG_HUNTINGTONS_DISEASE	0.532929	1.7327154	0.0
AIZARANI_LIVER_C18_NK_NKT_CELLS_5	0.7327678	2.3882291	0.0
TRAVAGLINI_LUNG_ALVEOLAR_FIBROBLAST_CELL	0.47266525	1.6213732	0.0
TRAVAGLINI_LUNG_BASAL_CELL	0.47805512	1.6475674	0.0
BUSSLINGER_DUODENAL_STEM_CELLS	0.62870413	2.262912	0.0
GOBP_NEURON_PROJECTION_EXTENSION	0.6070529	1.945638	0.0
GOBP_NEURON_PROJECTION_GUIDANCE	0.43548128	1.520585	0.0
GOBP_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE	0.86007196	1.891001	0.0
GOBP_CELLULAR_RESPIRATION	0.5443918	1.8497121	0.0
LAKE_ADULT_KIDNEY_C23_ENDOTHELIAL_CELLS_AVR	0.7469319	2.382714	0.0
DESCARTES_FETAL_SPLEEN_MYELOID_CELLS	0.6427073	2.0900135	0.0
DESCARTES_FETAL_STOMACH_CILIATED_EPITHELIAL_CELLS	-0.46311197	-1.5883671	0.0
LAKE_ADULT_KIDNEY_C4_PROXIMAL_TUBULE_EPITHELIAL_CELLS_S2	0.52862334	1.7409339	0.0
LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA	0.69214696	2.5063777	0.0
LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA	0.6079379	2.1833005	0.0
