,donor_id,site_id,cell_class,annotation_coarse,count
17658,AT12,AT12-BRA-4-FO-3,NPC-neuronal-like,NPC-neuronal-like,11
17667,AT12,AT12-BRA-4-FO-3,Proliferative,Proliferative,445
17676,AT12,AT12-BRA-4-FO-4,AC-gliosis-hypoxia,AC-gliosis-like,611
17677,AT12,AT12-BRA-4-FO-4,AC-gliosis-hypoxia,AC-progenitor-like,36
17678,AT12,AT12-BRA-4-FO-4,AC-gliosis-hypoxia,Gliosis-like,4
17679,AT12,AT12-BRA-4-FO-4,AC-gliosis-hypoxia,Hypoxic,2
17685,AT12,AT12-BRA-4-FO-4,NPC-OPC-like,OPC-like,45
17686,AT12,AT12-BRA-4-FO-4,NPC-OPC-like,OPC-NPC-like,3
17694,AT12,AT12-BRA-4-FO-4,NPC-neuronal-like,NPC-neuronal-like,13
17703,AT12,AT12-BRA-4-FO-4,Proliferative,Proliferative,8
19764,AT13,AT13-BRA-3-FO-1,AC-gliosis-hypoxia,AC-progenitor-like,7
19765,AT13,AT13-BRA-3-FO-1,AC-gliosis-hypoxia,AC-gliosis-like,1
19766,AT13,AT13-BRA-3-FO-1,AC-gliosis-hypoxia,Hypoxic,1
19782,AT13,AT13-BRA-3-FO-1,NPC-neuronal-like,NPC-neuronal-like,1
19800,AT13,AT13-BRA-3-FO-2,AC-gliosis-hypoxia,Hypoxic,8
19801,AT13,AT13-BRA-3-FO-2,AC-gliosis-hypoxia,AC-progenitor-like,2
19802,AT13,AT13-BRA-3-FO-2,AC-gliosis-hypoxia,Gliosis-like,1
19809,AT13,AT13-BRA-3-FO-2,NPC-OPC-like,OPC-like,4
19818,AT13,AT13-BRA-3-FO-2,NPC-neuronal-like,NPC-neuronal-like,1
19836,AT13,AT13-BRA-3-FO-3,AC-gliosis-hypoxia,AC-progenitor-like,12325
19837,AT13,AT13-BRA-3-FO-3,AC-gliosis-hypoxia,AC-gliosis-like,1778
19838,AT13,AT13-BRA-3-FO-3,AC-gliosis-hypoxia,Hypoxic,1637
19839,AT13,AT13-BRA-3-FO-3,AC-gliosis-hypoxia,Gliosis-like,93
19845,AT13,AT13-BRA-3-FO-3,NPC-OPC-like,OPC-like,674
19846,AT13,AT13-BRA-3-FO-3,NPC-OPC-like,OPC-NPC-like,40
19854,AT13,AT13-BRA-3-FO-3,NPC-neuronal-like,NPC-neuronal-like,51
19863,AT13,AT13-BRA-3-FO-3,Proliferative,Proliferative,527
19872,AT13,AT13-BRA-3-FO-4,AC-gliosis-hypoxia,AC-progenitor-like,795
19873,AT13,AT13-BRA-3-FO-4,AC-gliosis-hypoxia,AC-gliosis-like,129
19874,AT13,AT13-BRA-3-FO-4,AC-gliosis-hypoxia,Hypoxic,100
19875,AT13,AT13-BRA-3-FO-4,AC-gliosis-hypoxia,Gliosis-like,5
19881,AT13,AT13-BRA-3-FO-4,NPC-OPC-like,OPC-like,169
19882,AT13,AT13-BRA-3-FO-4,NPC-OPC-like,OPC-NPC-like,4
19890,AT13,AT13-BRA-3-FO-4,NPC-neuronal-like,NPC-neuronal-like,10
19899,AT13,AT13-BRA-3-FO-4,Proliferative,Proliferative,24
21960,AT14,AT14-BRA-4-FO-2,AC-gliosis-hypoxia,AC-progenitor-like,4921
21961,AT14,AT14-BRA-4-FO-2,AC-gliosis-hypoxia,AC-gliosis-like,4542
21962,AT14,AT14-BRA-4-FO-2,AC-gliosis-hypoxia,Hypoxic,2920
21963,AT14,AT14-BRA-4-FO-2,AC-gliosis-hypoxia,Gliosis-like,278
21969,AT14,AT14-BRA-4-FO-2,NPC-OPC-like,OPC-like,3260
21970,AT14,AT14-BRA-4-FO-2,NPC-OPC-like,OPC-NPC-like,102
21971,AT14,AT14-BRA-4-FO-2,NPC-OPC-like,OPC-neuronal-like,10
21978,AT14,AT14-BRA-4-FO-2,NPC-neuronal-like,NPC-neuronal-like,788
21987,AT14,AT14-BRA-4-FO-2,Proliferative,Proliferative,1556
21996,AT14,AT14-BRA-4-FO-4,AC-gliosis-hypoxia,AC-progenitor-like,1087
21997,AT14,AT14-BRA-4-FO-4,AC-gliosis-hypoxia,AC-gliosis-like,918
21998,AT14,AT14-BRA-4-FO-4,AC-gliosis-hypoxia,Hypoxic,110
21999,AT14,AT14-BRA-4-FO-4,AC-gliosis-hypoxia,Gliosis-like,25
22005,AT14,AT14-BRA-4-FO-4,NPC-OPC-like,OPC-like,81
22006,AT14,AT14-BRA-4-FO-4,NPC-OPC-like,OPC-NPC-like,5
22007,AT14,AT14-BRA-4-FO-4,NPC-OPC-like,OPC-neuronal-like,5
22014,AT14,AT14-BRA-4-FO-4,NPC-neuronal-like,NPC-neuronal-like,167
22023,AT14,AT14-BRA-4-FO-4,Proliferative,Proliferative,377
24084,AT15,AT15-BRA-4-FO-A2,AC-gliosis-hypoxia,AC-progenitor-like,470
24085,AT15,AT15-BRA-4-FO-A2,AC-gliosis-hypoxia,Hypoxic,331
24086,AT15,AT15-BRA-4-FO-A2,AC-gliosis-hypoxia,Gliosis-like,80
24087,AT15,AT15-BRA-4-FO-A2,AC-gliosis-hypoxia,AC-gliosis-like,48
24093,AT15,AT15-BRA-4-FO-A2,NPC-OPC-like,OPC-like,1453
24094,AT15,AT15-BRA-4-FO-A2,NPC-OPC-like,OPC-neuronal-like,43
24095,AT15,AT15-BRA-4-FO-A2,NPC-OPC-like,OPC-NPC-like,26
24102,AT15,AT15-BRA-4-FO-A2,NPC-neuronal-like,NPC-neuronal-like,13166
24111,AT15,AT15-BRA-4-FO-A2,Proliferative,Proliferative,1557
24120,AT15,AT15-BRA-4-FO-B2,AC-gliosis-hypoxia,Hypoxic,588
24121,AT15,AT15-BRA-4-FO-B2,AC-gliosis-hypoxia,AC-progenitor-like,465
24122,AT15,AT15-BRA-4-FO-B2,AC-gliosis-hypoxia,Gliosis-like,312
24123,AT15,AT15-BRA-4-FO-B2,AC-gliosis-hypoxia,AC-gliosis-like,92
24129,AT15,AT15-BRA-4-FO-B2,NPC-OPC-like,OPC-like,332
24130,AT15,AT15-BRA-4-FO-B2,NPC-OPC-like,OPC-NPC-like,265
24131,AT15,AT15-BRA-4-FO-B2,NPC-OPC-like,OPC-neuronal-like,93
24138,AT15,AT15-BRA-4-FO-B2,NPC-neuronal-like,NPC-neuronal-like,5472
24147,AT15,AT15-BRA-4-FO-B2,Proliferative,Proliferative,1273
24156,AT15,AT15-BRA-4-FO-B3,AC-gliosis-hypoxia,Hypoxic,1163
24157,AT15,AT15-BRA-4-FO-B3,AC-gliosis-hypoxia,AC-progenitor-like,936
24158,AT15,AT15-BRA-4-FO-B3,AC-gliosis-hypoxia,Gliosis-like,255
24159,AT15,AT15-BRA-4-FO-B3,AC-gliosis-hypoxia,AC-gliosis-like,218
24165,AT15,AT15-BRA-4-FO-B3,NPC-OPC-like,OPC-like,2068
24166,AT15,AT15-BRA-4-FO-B3,NPC-OPC-like,OPC-NPC-like,929
24167,AT15,AT15-BRA-4-FO-B3,NPC-OPC-like,OPC-neuronal-like,225
24174,AT15,AT15-BRA-4-FO-B3,NPC-neuronal-like,NPC-neuronal-like,14766
24183,AT15,AT15-BRA-4-FO-B3,Proliferative,Proliferative,2289
24192,AT15,AT15-BRA-4-FO-C2,AC-gliosis-hypoxia,Hypoxic,663
24193,AT15,AT15-BRA-4-FO-C2,AC-gliosis-hypoxia,AC-progenitor-like,299
24194,AT15,AT15-BRA-4-FO-C2,AC-gliosis-hypoxia,AC-gliosis-like,161
24195,AT15,AT15-BRA-4-FO-C2,AC-gliosis-hypoxia,Gliosis-like,118
24201,AT15,AT15-BRA-4-FO-C2,NPC-OPC-like,OPC-like,916
24202,AT15,AT15-BRA-4-FO-C2,NPC-OPC-like,OPC-neuronal-like,141
24203,AT15,AT15-BRA-4-FO-C2,NPC-OPC-like,OPC-NPC-like,113
24210,AT15,AT15-BRA-4-FO-C2,NPC-neuronal-like,NPC-neuronal-like,8326
24219,AT15,AT15-BRA-4-FO-C2,Proliferative,Proliferative,1085
24228,AT15,AT15-BRA-4-FO-C3,AC-gliosis-hypoxia,AC-progenitor-like,1149
24229,AT15,AT15-BRA-4-FO-C3,AC-gliosis-hypoxia,Hypoxic,621
24230,AT15,AT15-BRA-4-FO-C3,AC-gliosis-hypoxia,Gliosis-like,78
24231,AT15,AT15-BRA-4-FO-C3,AC-gliosis-hypoxia,AC-gliosis-like,66
24237,AT15,AT15-BRA-4-FO-C3,NPC-OPC-like,OPC-NPC-like,596
24238,AT15,AT15-BRA-4-FO-C3,NPC-OPC-like,OPC-like,438
24239,AT15,AT15-BRA-4-FO-C3,NPC-OPC-like,OPC-neuronal-like,156
24246,AT15,AT15-BRA-4-FO-C3,NPC-neuronal-like,NPC-neuronal-like,12704
24255,AT15,AT15-BRA-4-FO-C3,Proliferative,Proliferative,1676
24264,AT15,AT15-BRA-4-FO-D1,AC-gliosis-hypoxia,AC-progenitor-like,343
24265,AT15,AT15-BRA-4-FO-D1,AC-gliosis-hypoxia,Hypoxic,250
24266,AT15,AT15-BRA-4-FO-D1,AC-gliosis-hypoxia,AC-gliosis-like,65
24267,AT15,AT15-BRA-4-FO-D1,AC-gliosis-hypoxia,Gliosis-like,53
24273,AT15,AT15-BRA-4-FO-D1,NPC-OPC-like,OPC-like,107
24274,AT15,AT15-BRA-4-FO-D1,NPC-OPC-like,OPC-NPC-like,51
24275,AT15,AT15-BRA-4-FO-D1,NPC-OPC-like,OPC-neuronal-like,48
24282,AT15,AT15-BRA-4-FO-D1,NPC-neuronal-like,NPC-neuronal-like,6417
24291,AT15,AT15-BRA-4-FO-D1,Proliferative,Proliferative,1089
24300,AT15,AT15-BRA-4-FO-D2,AC-gliosis-hypoxia,Gliosis-like,76
24301,AT15,AT15-BRA-4-FO-D2,AC-gliosis-hypoxia,AC-progenitor-like,71
24302,AT15,AT15-BRA-4-FO-D2,AC-gliosis-hypoxia,AC-gliosis-like,48
24303,AT15,AT15-BRA-4-FO-D2,AC-gliosis-hypoxia,Hypoxic,45
24309,AT15,AT15-BRA-4-FO-D2,NPC-OPC-like,OPC-like,23
24310,AT15,AT15-BRA-4-FO-D2,NPC-OPC-like,OPC-neuronal-like,9
24318,AT15,AT15-BRA-4-FO-D2,NPC-neuronal-like,NPC-neuronal-like,112
24327,AT15,AT15-BRA-4-FO-D2,Proliferative,Proliferative,370
24336,AT15,AT15-BRA-4-FO-D3,AC-gliosis-hypoxia,AC-progenitor-like,355
24337,AT15,AT15-BRA-4-FO-D3,AC-gliosis-hypoxia,Hypoxic,165
24338,AT15,AT15-BRA-4-FO-D3,AC-gliosis-hypoxia,Gliosis-like,38
24339,AT15,AT15-BRA-4-FO-D3,AC-gliosis-hypoxia,AC-gliosis-like,36
24345,AT15,AT15-BRA-4-FO-D3,NPC-OPC-like,OPC-NPC-like,250
24346,AT15,AT15-BRA-4-FO-D3,NPC-OPC-like,OPC-like,151
24347,AT15,AT15-BRA-4-FO-D3,NPC-OPC-like,OPC-neuronal-like,45
24354,AT15,AT15-BRA-4-FO-D3,NPC-neuronal-like,NPC-neuronal-like,4158
24363,AT15,AT15-BRA-4-FO-D3,Proliferative,Proliferative,1054
24372,AT15,AT15-BRA-4-FO-E1,AC-gliosis-hypoxia,AC-progenitor-like,20
24373,AT15,AT15-BRA-4-FO-E1,AC-gliosis-hypoxia,Hypoxic,3
24374,AT15,AT15-BRA-4-FO-E1,AC-gliosis-hypoxia,Gliosis-like,1
24381,AT15,AT15-BRA-4-FO-E1,NPC-OPC-like,OPC-NPC-like,8
24382,AT15,AT15-BRA-4-FO-E1,NPC-OPC-like,OPC-like,4
24383,AT15,AT15-BRA-4-FO-E1,NPC-OPC-like,OPC-neuronal-like,1
24390,AT15,AT15-BRA-4-FO-E1,NPC-neuronal-like,NPC-neuronal-like,23
24399,AT15,AT15-BRA-4-FO-E1,Proliferative,Proliferative,48
24408,AT15,AT15-BRA-4-FO-E2,AC-gliosis-hypoxia,AC-progenitor-like,13
24409,AT15,AT15-BRA-4-FO-E2,AC-gliosis-hypoxia,Hypoxic,12
24410,AT15,AT15-BRA-4-FO-E2,AC-gliosis-hypoxia,Gliosis-like,6
24411,AT15,AT15-BRA-4-FO-E2,AC-gliosis-hypoxia,AC-gliosis-like,1
24417,AT15,AT15-BRA-4-FO-E2,NPC-OPC-like,OPC-like,15
24418,AT15,AT15-BRA-4-FO-E2,NPC-OPC-like,OPC-neuronal-like,5
24419,AT15,AT15-BRA-4-FO-E2,NPC-OPC-like,OPC-NPC-like,2
24426,AT15,AT15-BRA-4-FO-E2,NPC-neuronal-like,NPC-neuronal-like,69
24435,AT15,AT15-BRA-4-FO-E2,Proliferative,Proliferative,12
24444,AT15,AT15-BRA-4-FO-E3,AC-gliosis-hypoxia,Gliosis-like,75
24445,AT15,AT15-BRA-4-FO-E3,AC-gliosis-hypoxia,AC-progenitor-like,66
24446,AT15,AT15-BRA-4-FO-E3,AC-gliosis-hypoxia,Hypoxic,44
24447,AT15,AT15-BRA-4-FO-E3,AC-gliosis-hypoxia,AC-gliosis-like,23
24453,AT15,AT15-BRA-4-FO-E3,NPC-OPC-like,OPC-like,72
24454,AT15,AT15-BRA-4-FO-E3,NPC-OPC-like,OPC-NPC-like,10
24455,AT15,AT15-BRA-4-FO-E3,NPC-OPC-like,OPC-neuronal-like,2
24462,AT15,AT15-BRA-4-FO-E3,NPC-neuronal-like,NPC-neuronal-like,446
24471,AT15,AT15-BRA-4-FO-E3,Proliferative,Proliferative,769
24480,AT15,AT15-BRA-4-FO-F1,AC-gliosis-hypoxia,AC-progenitor-like,19
24481,AT15,AT15-BRA-4-FO-F1,AC-gliosis-hypoxia,Hypoxic,4
24489,AT15,AT15-BRA-4-FO-F1,NPC-OPC-like,OPC-NPC-like,7
24490,AT15,AT15-BRA-4-FO-F1,NPC-OPC-like,OPC-like,7
24498,AT15,AT15-BRA-4-FO-F1,NPC-neuronal-like,NPC-neuronal-like,52
24507,AT15,AT15-BRA-4-FO-F1,Proliferative,Proliferative,99
24516,AT15,AT15-BRA-4-FO-F2,AC-gliosis-hypoxia,Hypoxic,124
24517,AT15,AT15-BRA-4-FO-F2,AC-gliosis-hypoxia,Gliosis-like,111
24518,AT15,AT15-BRA-4-FO-F2,AC-gliosis-hypoxia,AC-progenitor-like,91
24519,AT15,AT15-BRA-4-FO-F2,AC-gliosis-hypoxia,AC-gliosis-like,55
24525,AT15,AT15-BRA-4-FO-F2,NPC-OPC-like,OPC-like,65
24526,AT15,AT15-BRA-4-FO-F2,NPC-OPC-like,OPC-NPC-like,31
24527,AT15,AT15-BRA-4-FO-F2,NPC-OPC-like,OPC-neuronal-like,23
24534,AT15,AT15-BRA-4-FO-F2,NPC-neuronal-like,NPC-neuronal-like,652
24543,AT15,AT15-BRA-4-FO-F2,Proliferative,Proliferative,512
24552,AT15,AT15-BRA-4-FO-G1,AC-gliosis-hypoxia,AC-progenitor-like,451
24553,AT15,AT15-BRA-4-FO-G1,AC-gliosis-hypoxia,Hypoxic,448
24554,AT15,AT15-BRA-4-FO-G1,AC-gliosis-hypoxia,AC-gliosis-like,128
24555,AT15,AT15-BRA-4-FO-G1,AC-gliosis-hypoxia,Gliosis-like,81
24561,AT15,AT15-BRA-4-FO-G1,NPC-OPC-like,OPC-like,11162
24562,AT15,AT15-BRA-4-FO-G1,NPC-OPC-like,OPC-NPC-like,445
24563,AT15,AT15-BRA-4-FO-G1,NPC-OPC-like,OPC-neuronal-like,113
24570,AT15,AT15-BRA-4-FO-G1,NPC-neuronal-like,NPC-neuronal-like,9801
24579,AT15,AT15-BRA-4-FO-G1,Proliferative,Proliferative,1160
24588,AT15,AT15-BRA-4-FO-G2,AC-gliosis-hypoxia,Hypoxic,288
24589,AT15,AT15-BRA-4-FO-G2,AC-gliosis-hypoxia,Gliosis-like,202
24590,AT15,AT15-BRA-4-FO-G2,AC-gliosis-hypoxia,AC-progenitor-like,194
24591,AT15,AT15-BRA-4-FO-G2,AC-gliosis-hypoxia,AC-gliosis-like,64
24597,AT15,AT15-BRA-4-FO-G2,NPC-OPC-like,OPC-like,228
24598,AT15,AT15-BRA-4-FO-G2,NPC-OPC-like,OPC-NPC-like,75
24599,AT15,AT15-BRA-4-FO-G2,NPC-OPC-like,OPC-neuronal-like,46
24606,AT15,AT15-BRA-4-FO-G2,NPC-neuronal-like,NPC-neuronal-like,4485
24615,AT15,AT15-BRA-4-FO-G2,Proliferative,Proliferative,1514
