,donor_id,site_id,cell_class,annotation_coarse,count
2304,AT4,AT4-BRA-5-FO-4,AC-gliosis-hypoxia,AC-progenitor-like,2506
2305,AT4,AT4-BRA-5-FO-4,AC-gliosis-hypoxia,Hypoxic,1746
2306,AT4,AT4-BRA-5-FO-4,AC-gliosis-hypoxia,AC-gliosis-like,1221
2307,AT4,AT4-BRA-5-FO-4,AC-gliosis-hypoxia,Gliosis-like,817
2313,AT4,AT4-BRA-5-FO-4,NPC-OPC-like,OPC-like,4817
2314,AT4,AT4-BRA-5-FO-4,NPC-OPC-like,OPC-NPC-like,1045
2315,AT4,AT4-BRA-5-FO-4,NPC-OPC-like,OPC-neuronal-like,87
2322,AT4,AT4-BRA-5-FO-4,NPC-neuronal-like,NPC-neuronal-like,704
2331,AT4,AT4-BRA-5-FO-4,Proliferative,Proliferative,999
4392,AT5,AT5-BRA-5-FO-1,AC-gliosis-hypoxia,AC-progenitor-like,560
4393,AT5,AT5-BRA-5-FO-1,AC-gliosis-hypoxia,Hypoxic,528
4394,AT5,AT5-BRA-5-FO-1,AC-gliosis-hypoxia,Gliosis-like,311
4395,AT5,AT5-BRA-5-FO-1,AC-gliosis-hypoxia,AC-gliosis-like,125
4401,AT5,AT5-BRA-5-FO-1,NPC-OPC-like,OPC-like,5471
4402,AT5,AT5-BRA-5-FO-1,NPC-OPC-like,OPC-NPC-like,1304
4403,AT5,AT5-BRA-5-FO-1,NPC-OPC-like,OPC-neuronal-like,30
4410,AT5,AT5-BRA-5-FO-1,NPC-neuronal-like,NPC-neuronal-like,442
4419,AT5,AT5-BRA-5-FO-1,Proliferative,Proliferative,527
4428,AT5,AT5-BRA-5-FO-2,AC-gliosis-hypoxia,Hypoxic,596
4429,AT5,AT5-BRA-5-FO-2,AC-gliosis-hypoxia,AC-progenitor-like,485
4430,AT5,AT5-BRA-5-FO-2,AC-gliosis-hypoxia,AC-gliosis-like,118
4431,AT5,AT5-BRA-5-FO-2,AC-gliosis-hypoxia,Gliosis-like,82
4437,AT5,AT5-BRA-5-FO-2,NPC-OPC-like,OPC-like,5163
4438,AT5,AT5-BRA-5-FO-2,NPC-OPC-like,OPC-NPC-like,2964
4439,AT5,AT5-BRA-5-FO-2,NPC-OPC-like,OPC-neuronal-like,846
4446,AT5,AT5-BRA-5-FO-2,NPC-neuronal-like,NPC-neuronal-like,477
4455,AT5,AT5-BRA-5-FO-2,Proliferative,Proliferative,460
4464,AT5,AT5-BRA-5-FO-3,AC-gliosis-hypoxia,AC-progenitor-like,591
4465,AT5,AT5-BRA-5-FO-3,AC-gliosis-hypoxia,Hypoxic,219
4466,AT5,AT5-BRA-5-FO-3,AC-gliosis-hypoxia,AC-gliosis-like,88
