,source,score,norm,pval,state,pval_plot,ng_log_p
38,GOBP_ASTROCYTE_DIFFERENTIATION,0.5366179,1.3109432,0.105820104,AC-gliosis-like 4,0.105820104,2.2460148
39,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.42036968,1.0796412,0.30860034,AC-gliosis-like 4,0.30860034,1.1757083
40,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,0.423827,0.8563597,0.66533065,AC-gliosis-like 4,0.66533065,0.40747115
41,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.23170973,0.5921683,0.9982238,AC-gliosis-like 4,0.9982238,0.0017777978
42,HALLMARK_HYPOXIA,-0.5339814,-1.6576648,0.0,OPC-like 2,9.99999e-07,13.815512
43,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.6065956,1.4673734,0.020497805,OPC-like 2,0.020497805,3.8874376
44,GOBP_ASTROCYTE_DIFFERENTIATION,0.46750665,1.1137985,0.296063,OPC-like 2,0.296063,1.217183
45,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,-0.5122981,-1.0563822,0.4162896,OPC-like 2,0.4162896,0.8763741
46,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.4226251,0.99749976,0.48421052,OPC-like 2,0.48421052,0.7252355
47,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.36239535,0.88523626,0.6666667,OPC-like 2,0.6666667,0.40546507
48,HALLMARK_HYPOXIA,-0.52463895,-1.6884598,0.0,OPC-NPC-like 3,9.99999e-07,13.815512
49,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,-0.6892365,-1.4489671,0.05922551,OPC-NPC-like 3,0.05922551,2.826403
50,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.5600321,1.3435158,0.07113543,OPC-NPC-like 3,0.07113543,2.6431696
51,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.5231573,1.2698126,0.124475524,OPC-NPC-like 3,0.124475524,2.0836463
52,GOBP_ASTROCYTE_DIFFERENTIATION,0.502448,1.1563665,0.25421348,OPC-NPC-like 3,0.25421348,1.3695809
53,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.4397913,1.0280256,0.4385475,OPC-NPC-like 3,0.4385475,0.8242872
54,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.49218968,-1.6227204,0.0,AC-gliosis-like 2,9.99999e-07,13.815512
55,HALLMARK_HYPOXIA,0.61033505,1.4195632,0.0010050251,AC-gliosis-like 2,0.0010050251,6.902743
56,GOBP_ASTROCYTE_DIFFERENTIATION,0.57083905,1.2417266,0.13195202,AC-gliosis-like 2,0.13195202,2.025317
57,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.4611142,1.0203639,0.48414376,AC-gliosis-like 2,0.48414376,0.7253734
58,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.42324242,0.91906613,0.64832795,AC-gliosis-like 2,0.64832795,0.43335864
59,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,-0.34229213,-0.7889982,0.761658,AC-gliosis-like 2,0.761658,0.27225766
60,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.71539295,-1.7463393,0.0,Hypoxic 1,9.99999e-07,13.815512
61,HALLMARK_HYPOXIA,0.7925001,2.6332412,0.0,Hypoxic 1,9.99999e-07,13.815512
62,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,0.75341654,1.6370559,0.0028490028,Hypoxic 1,0.0028490028,5.8607864
63,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.54100144,-1.3890618,0.03021978,Hypoxic 1,0.03021978,3.4992585
64,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.4408025,-1.1338208,0.23777173,Hypoxic 1,0.23777173,1.4364442
65,GOBP_ASTROCYTE_DIFFERENTIATION,-0.3785467,-0.94454867,0.5498534,Hypoxic 1,0.5498534,0.59810364
66,HALLMARK_HYPOXIA,-0.4684432,-1.4142522,0.0028248588,NPC-neuronal-like 2,0.0028248588,5.869297
67,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.623906,1.5233486,0.014754098,NPC-neuronal-like 2,0.014754098,4.216234
68,GOBP_ASTROCYTE_DIFFERENTIATION,-0.55538243,-1.4128457,0.029776676,NPC-neuronal-like 2,0.029776676,3.51403
69,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,-0.7089317,-1.4588432,0.05510204,NPC-neuronal-like 2,0.05510204,2.8985686
70,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.39845324,-1.0928187,0.26289925,NPC-neuronal-like 2,0.26289925,1.3359843
71,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.337,0.8409967,0.7759473,NPC-neuronal-like 2,0.7759473,0.25367072
72,HALLMARK_HYPOXIA,-0.5045382,-1.5789677,0.0,OPC-like 5,9.99999e-07,13.815512
73,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.45531908,1.2131642,0.16007534,OPC-like 5,0.16007534,1.8321108
74,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.39187792,-1.0370824,0.3943662,OPC-like 5,0.3943662,0.93047535
75,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.3834604,1.0185732,0.41353384,OPC-like 5,0.41353384,0.88301593
76,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,-0.46999362,-0.9964769,0.50089765,OPC-like 5,0.50089765,0.6913535
77,GOBP_ASTROCYTE_DIFFERENTIATION,-0.3390353,-0.897306,0.65294117,OPC-like 5,0.65294117,0.42626825
78,HALLMARK_HYPOXIA,-0.5928463,-1.6272243,0.0,NPC-neuronal-like 5,9.99999e-07,13.815512
79,GOBP_ASTROCYTE_DIFFERENTIATION,-0.6527318,-1.5734521,0.0036407767,NPC-neuronal-like 5,0.0036407767,5.615558
80,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.49050415,1.4232838,0.021621622,NPC-neuronal-like 5,0.021621622,3.8340614
81,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,-0.706205,-1.401335,0.0390625,NPC-neuronal-like 5,0.0390625,3.2425923
82,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.42475492,-1.0690917,0.37939394,NPC-neuronal-like 5,0.37939394,0.9691802
83,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.3959296,-1.0031121,0.45988023,NPC-neuronal-like 5,0.45988023,0.7767892
84,HALLMARK_HYPOXIA,-0.6314738,-1.829419,0.0,OPC-neuronal-like,9.99999e-07,13.815512
85,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.38011587,1.0232466,0.4024768,OPC-neuronal-like,0.4024768,0.91011786
86,GOBP_ASTROCYTE_DIFFERENTIATION,-0.39722154,-0.9827385,0.48270676,OPC-neuronal-like,0.48270676,0.72834593
87,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.3568336,-0.9322962,0.5776836,OPC-neuronal-like,0.5776836,0.54872894
88,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,-0.44748893,-0.88809085,0.66566265,OPC-neuronal-like,0.66566265,0.40697232
89,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.2889329,-0.76189053,0.9035971,OPC-neuronal-like,0.9035971,0.10137169
90,GOBP_ASTROCYTE_DIFFERENTIATION,0.6784438,1.6000621,0.0,AC progenitor-like 4,9.99999e-07,13.815512
91,HALLMARK_HYPOXIA,0.5863559,1.5403848,0.0,AC progenitor-like 4,9.99999e-07,13.815512
92,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,0.7569773,1.476921,0.026027398,AC progenitor-like 4,0.026027398,3.6486056
93,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.4676016,-1.3926239,0.026845638,AC progenitor-like 4,0.026845638,3.617652
94,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.3641524,0.89566183,0.6662909,AC progenitor-like 4,0.6662909,0.40602896
95,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.25828344,0.6266919,0.98068184,AC progenitor-like 4,0.98068184,0.019507198
96,HALLMARK_HYPOXIA,0.506233,1.6451952,0.0,AC-gliosis-like 3,9.99999e-07,13.815512
97,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.5945953,-1.5992452,0.0068846815,AC-gliosis-like 3,0.0068846815,4.9784565
98,GOBP_ASTROCYTE_DIFFERENTIATION,0.44613096,1.202661,0.17941953,AC-gliosis-like 3,0.17941953,1.7180284
99,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,-0.575012,-1.2103179,0.22690438,AC-gliosis-like 3,0.22690438,1.4832267
100,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.36820623,-1.0180018,0.43633276,AC-gliosis-like 3,0.43633276,0.8293501
