,source,score,norm,pval,state,pval_plot,ng_log_p
38,GOBP_ASTROCYTE_DIFFERENTIATION,0.5830562,1.3109663,0.09056604,AC progenitor-like 3,0.09056604,2.401675970638277
39,HALLMARK_HYPOXIA,0.47766128,1.1877306,0.15212765,AC progenitor-like 3,0.15212765,1.8830353079412072
40,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.37729266,-1.0554903,0.3181818,AC progenitor-like 3,0.3181818,1.1451323614458613
41,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.3887521,0.90260756,0.6502924,AC progenitor-like 3,0.6502924,0.43033317108905556
42,HALLMARK_HYPOXIA,-0.5928463,-1.6272243,0.0,NPC-neuronal-like 5,0.0004997501249375312,7.601402334583733
43,GOBP_REGULATION_OF_WOUND_HEALING,-0.67131454,-1.6968868,0.0,NPC-neuronal-like 5,0.0004997501249375312,7.601402334583733
44,GOBP_ASTROCYTE_DIFFERENTIATION,-0.6527318,-1.5734521,0.0036407767,NPC-neuronal-like 5,0.0036407767,5.615558240974695
45,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.49050415,1.4232838,0.021621622,NPC-neuronal-like 5,0.021621622,3.8340614464584344
46,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.42475492,-1.0690917,0.37939394,NPC-neuronal-like 5,0.37939394,0.9691801941970837
47,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.3959296,-1.0031121,0.45988023,NPC-neuronal-like 5,0.45988023,0.7767891929662538
48,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.6089937,-1.722271,0.0,AC progenitor-like 1,0.0004997501249375312,7.601402334583733
49,GOBP_ASTROCYTE_DIFFERENTIATION,0.6799895,1.547766,0.005340454,AC progenitor-like 1,0.005340454,5.232444610897329
50,HALLMARK_HYPOXIA,0.55993146,1.431866,0.0080831405,AC progenitor-like 1,0.0080831405,4.817974806221408
51,GOBP_REGULATION_OF_WOUND_HEALING,0.5941444,1.4015862,0.0343075,AC progenitor-like 1,0.0343075,3.3723912898204857
52,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.48852587,-1.3695903,0.04819277,AC progenitor-like 1,0.04819277,3.0325462691767076
53,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.39914295,0.9336591,0.58598727,AC progenitor-like 1,0.58598727,0.5344572131905723
54,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.72330254,1.5479873,0.0021074815,NPC-neuronal-like 4,0.0021074815,6.162261646299983
55,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.66068995,1.4430357,0.0061791968,NPC-neuronal-like 4,0.0061791968,5.086566983596604
56,GOBP_ASTROCYTE_DIFFERENTIATION,0.65092444,1.4042988,0.012658228,NPC-neuronal-like 4,0.012658228,4.369447840467021
57,GOBP_REGULATION_OF_WOUND_HEALING,-0.2950913,-0.98974514,0.4090909,NPC-neuronal-like 4,0.4090909,0.893817898244319
58,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.38444796,0.8356499,0.8070539,NPC-neuronal-like 4,0.8070539,0.21436482236017593
59,HALLMARK_HYPOXIA,0.36243126,0.8191055,0.90380764,NPC-neuronal-like 4,0.90380764,0.1011387288430757
60,HALLMARK_HYPOXIA,-0.6690338,-1.7601688,0.0,OPC-NPC-like 1,0.0004997501249375312,7.601402334583733
61,GOBP_ASTROCYTE_DIFFERENTIATION,-0.6391285,-1.516,0.003440367,OPC-NPC-like 1,0.003440367,5.67217712724087
62,GOBP_REGULATION_OF_WOUND_HEALING,-0.5732844,-1.431712,0.011013215,OPC-NPC-like 1,0.011013215,4.508659363607251
63,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.34189126,1.1126795,0.19480519,OPC-NPC-like 1,0.19480519,1.6357552454181408
64,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.38366646,-0.9499154,0.60373217,OPC-NPC-like 1,0.60373217,0.5046246065425327
65,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.39344886,-0.9391517,0.60650223,OPC-NPC-like 1,0.60650223,0.5000468737704966
66,HALLMARK_HYPOXIA,0.5084251,1.4751064,0.0072859745,AC-gliosis-like 1,0.0072859745,4.92180408026464
67,GOBP_REGULATION_OF_WOUND_HEALING,0.5922393,1.518646,0.011342155,AC-gliosis-like 1,0.011342155,4.479228963463577
68,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.5284631,-1.3981797,0.040948275,AC-gliosis-like 1,0.040948275,3.1954455941124467
69,GOBP_ASTROCYTE_DIFFERENTIATION,0.52598745,1.2850208,0.10973085,AC-gliosis-like 1,0.10973085,2.209724729723092
70,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.49745214,-1.2463337,0.12936345,AC-gliosis-like 1,0.12936345,2.0451293943101048
71,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.4544495,-1.204867,0.15677966,AC-gliosis-like 1,0.15677966,1.8529138988678722
72,HALLMARK_HYPOXIA,-0.52463895,-1.6884598,0.0,OPC-NPC-like 3,0.0004997501249375312,7.601402334583733
73,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.5600321,1.3435158,0.07113543,OPC-NPC-like 3,0.07113543,2.6431697540529666
74,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.5231573,1.2698126,0.124475524,OPC-NPC-like 3,0.124475524,2.0836461767820924
75,GOBP_ASTROCYTE_DIFFERENTIATION,0.502448,1.1563665,0.25421348,OPC-NPC-like 3,0.25421348,1.3695808925218407
76,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.4397913,1.0280256,0.4385475,OPC-NPC-like 3,0.4385475,0.824287149205259
77,GOBP_REGULATION_OF_WOUND_HEALING,0.35521978,0.8560195,0.7167785,OPC-NPC-like 3,0.7167785,0.3329884121909008
78,HALLMARK_HYPOXIA,0.6894987,2.203876,0.0,Hypoxic 2,0.0004997501249375312,7.601402334583733
79,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.57567644,-1.5829524,0.0076804915,Hypoxic 2,0.0076804915,4.869071736474469
80,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.4254536,-1.1242319,0.28050712,Hypoxic 2,0.28050712,1.2711561710973283
81,GOBP_ASTROCYTE_DIFFERENTIATION,-0.42133203,-1.079882,0.33443162,Hypoxic 2,0.33443162,1.0953228448255934
82,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.35180986,-0.9468736,0.54334366,Hypoxic 2,0.54334366,0.6100132678950837
83,GOBP_REGULATION_OF_WOUND_HEALING,0.29419532,0.84272337,0.7673716,Hypoxic 2,0.7673716,0.2647841099333294
84,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.5634645,1.7418888,0.0,Proliferative NPC-OPC-like,0.0004997501249375312,7.601402334583733
85,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.49510393,1.5127873,0.003875969,Proliferative NPC-OPC-like,0.003875969,5.552959582921617
86,GOBP_ASTROCYTE_DIFFERENTIATION,0.5619507,1.6567969,0.007168459,Proliferative NPC-OPC-like,0.007168459,4.938064570761421
87,HALLMARK_HYPOXIA,-0.3717624,-1.1052028,0.24969697,Proliferative NPC-OPC-like,0.24969697,1.3875072163315076
88,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.43789202,-1.1290227,0.29213482,Proliferative NPC-OPC-like,0.29213482,1.2305398709414277
89,GOBP_REGULATION_OF_WOUND_HEALING,-0.4051072,-1.0766741,0.335958,Proliferative NPC-OPC-like,0.335958,1.090769126832084
90,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.6045469,-1.7506943,0.004716981,AC progenitor-like 2,0.004716981,5.356586302672013
91,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.46561137,1.2514945,0.13851352,AC progenitor-like 2,0.13851352,1.9767873407904855
92,HALLMARK_HYPOXIA,-0.3437093,-1.1314293,0.1497006,AC progenitor-like 2,0.1497006,1.8991179795485544
93,GOBP_ASTROCYTE_DIFFERENTIATION,0.40861154,1.0538279,0.35664335,AC progenitor-like 2,0.35664335,1.0310190161630326
94,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.3889043,0.99299103,0.4701874,AC progenitor-like 2,0.4701874,0.7546239403428306
95,GOBP_REGULATION_OF_WOUND_HEALING,0.36809072,0.97887546,0.49405771,AC progenitor-like 2,0.49405771,0.7051029467550087
96,GOBP_REGULATION_OF_WOUND_HEALING,0.6416806,1.6260387,0.0,Gliosis-like,0.0004997501249375312,7.601402334583733
97,HALLMARK_HYPOXIA,0.71155316,1.9556206,0.0,Gliosis-like,0.0004997501249375312,7.601402334583733
98,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.5463429,-1.6805943,0.0,Gliosis-like,0.0004997501249375312,7.601402334583733
99,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.5400017,-1.5570986,0.009756098,Gliosis-like,0.009756098,4.629862753578464
100,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.42086354,-1.26793,0.1005291,Gliosis-like,0.1005291,2.29730804115636
101,GOBP_ASTROCYTE_DIFFERENTIATION,0.40428555,0.9782442,0.51959544,Gliosis-like,0.51959544,0.6547047702057259
102,GOBP_REGULATION_OF_WOUND_HEALING,-0.5827069,-1.5984747,0.0,NPC-neuronal-like 2,0.0004997501249375312,7.601402334583733
103,HALLMARK_HYPOXIA,-0.4684432,-1.4142522,0.0028248588,NPC-neuronal-like 2,0.0028248588,5.869296897933775
104,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.623906,1.5233486,0.014754098,NPC-neuronal-like 2,0.014754098,4.216234404275582
105,GOBP_ASTROCYTE_DIFFERENTIATION,-0.55538243,-1.4128457,0.029776676,NPC-neuronal-like 2,0.029776676,3.5140298764920166
106,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.39845324,-1.0928187,0.26289925,NPC-neuronal-like 2,0.26289925,1.3359844000461107
107,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.337,0.8409967,0.7759473,NPC-neuronal-like 2,0.7759473,0.2536706734762018
108,HALLMARK_HYPOXIA,-0.31548664,-1.1712344,0.0,Proliferative AC-OPC-like,0.0004997501249375312,7.601402334583733
109,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.8777103,1.8122061,0.0,Proliferative AC-OPC-like,0.0004997501249375312,7.601402334583733
110,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.36056915,-1.1322362,0.19298245,Proliferative AC-OPC-like,0.19298245,1.645156026854362
111,GOBP_REGULATION_OF_WOUND_HEALING,0.44195786,0.91169786,0.6652587,Proliferative AC-OPC-like,0.6652587,0.4075792914195477
112,GOBP_ASTROCYTE_DIFFERENTIATION,0.37944338,0.76912844,0.8365591,Proliferative AC-OPC-like,0.8365591,0.17845810952675176
113,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.36791706,0.75754714,0.87408185,Proliferative AC-OPC-like,0.87408185,0.13458125782589478
114,GOBP_REGULATION_OF_WOUND_HEALING,0.49599206,1.5259079,0.014534884,OPC-like 1,0.014534884,4.231203725739298
115,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.45859057,1.4245743,0.021021022,OPC-like 1,0.021021022,3.862232294353703
116,GOBP_ASTROCYTE_DIFFERENTIATION,0.51914126,1.5279903,0.03939394,OPC-like 1,0.03939394,3.234143281614374
117,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.4012675,1.250719,0.13450292,OPC-like 1,0.13450292,2.006169370138728
118,HALLMARK_HYPOXIA,0.33186486,1.1703907,0.16352202,OPC-like 1,0.16352202,1.810807618814135
119,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.37641856,1.1078402,0.28660437,OPC-like 1,0.28660437,1.2496525159722804
120,HALLMARK_HYPOXIA,0.5773333,1.647589,0.0,AC-gliosis-like 4,0.0004997501249375312,7.601402334583733
121,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.56381696,-1.4637378,0.017621145,AC-gliosis-like 4,0.017621145,4.038655677611512
122,GOBP_REGULATION_OF_WOUND_HEALING,0.5594243,1.4379333,0.022847101,AC-gliosis-like 4,0.022847101,3.7789310405878718
123,GOBP_ASTROCYTE_DIFFERENTIATION,0.5366179,1.3109432,0.105820104,AC-gliosis-like 4,0.105820104,2.2460147587056514
124,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.42036968,1.0796412,0.30860034,AC-gliosis-like 4,0.30860034,1.1757082373038457
125,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.23170973,0.5921683,0.9982238,AC-gliosis-like 4,0.9982238,0.001777779313614972
126,HALLMARK_HYPOXIA,0.506233,1.6451952,0.0,AC-gliosis-like 3,0.0004997501249375312,7.601402334583733
127,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.5945953,-1.5992452,0.0068846815,AC-gliosis-like 3,0.0068846815,4.978456407857021
128,GOBP_ASTROCYTE_DIFFERENTIATION,0.44613096,1.202661,0.17941953,AC-gliosis-like 3,0.17941953,1.71802847240632
129,GOBP_REGULATION_OF_WOUND_HEALING,0.35252512,1.0203043,0.40481928,AC-gliosis-like 3,0.40481928,0.9043145336845823
130,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.36820623,-1.0180018,0.43633276,AC-gliosis-like 3,0.43633276,0.8293501157213476
131,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.25664034,-0.7160836,0.9552,AC-gliosis-like 3,0.9552,0.04583453634379936
132,HALLMARK_HYPOXIA,-0.6314738,-1.829419,0.0,OPC-neuronal-like,0.0004997501249375312,7.601402334583733
133,GOBP_REGULATION_OF_WOUND_HEALING,-0.42789263,-1.1198044,0.27207977,OPC-neuronal-like,0.27207977,1.3016599836231604
134,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.38011587,1.0232466,0.4024768,OPC-neuronal-like,0.4024768,0.910117823536306
135,GOBP_ASTROCYTE_DIFFERENTIATION,-0.39722154,-0.9827385,0.48270676,OPC-neuronal-like,0.48270676,0.7283459318560564
136,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.3568336,-0.9322962,0.5776836,OPC-neuronal-like,0.5776836,0.5487289650347815
137,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.2889329,-0.76189053,0.9035971,OPC-neuronal-like,0.9035971,0.10137170377812238
138,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.49218968,-1.6227204,0.0,AC-gliosis-like 2,0.0004997501249375312,7.601402334583733
139,HALLMARK_HYPOXIA,0.61033505,1.4195632,0.0010050251,AC-gliosis-like 2,0.0010050251,6.902742762658593
140,GOBP_REGULATION_OF_WOUND_HEALING,0.59176505,1.3003745,0.053291537,AC-gliosis-like 2,0.053291537,2.9319777409050993
141,GOBP_ASTROCYTE_DIFFERENTIATION,0.57083905,1.2417266,0.13195202,AC-gliosis-like 2,0.13195202,2.0253169073208808
142,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.4611142,1.0203639,0.48414376,AC-gliosis-like 2,0.48414376,0.7253733915752479
143,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.42324242,0.91906613,0.64832795,AC-gliosis-like 2,0.64832795,0.43335861497407535
144,GOBP_REGULATION_OF_WOUND_HEALING,-0.6710194,-1.8435969,0.0,NPC-neuronal-like 3,0.0004997501249375312,7.601402334583733
145,HALLMARK_HYPOXIA,-0.55352813,-1.7193239,0.0,NPC-neuronal-like 3,0.0004997501249375312,7.601402334583733
146,GOBP_ASTROCYTE_DIFFERENTIATION,-0.6227056,-1.684239,0.0,NPC-neuronal-like 3,0.0004997501249375312,7.601402334583733
147,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.63436544,1.4848692,0.015965167,NPC-neuronal-like 3,0.015965167,4.137345992488015
148,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.38646853,-1.0798273,0.2789855,NPC-neuronal-like 3,0.2789855,1.2765954698374924
149,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.35189483,0.8696185,0.7109589,NPC-neuronal-like 3,0.7109589,0.3411406567568951
150,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.5990134,1.5605125,0.0025510204,Proliferative nIPC-like,0.0025510204,5.9712618429904625
151,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.5648929,1.4127294,0.03470437,Proliferative nIPC-like,0.03470437,3.3608896633592478
152,HALLMARK_HYPOXIA,-0.34046066,-1.1560034,0.09090909,Proliferative nIPC-like,0.09090909,2.3978952827983706
153,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.4442336,1.1484004,0.2290576,Proliferative nIPC-like,0.2290576,1.4737817786715786
154,GOBP_ASTROCYTE_DIFFERENTIATION,0.4400795,1.099339,0.32539684,Proliferative nIPC-like,0.32539684,1.1227097953691223
155,GOBP_REGULATION_OF_WOUND_HEALING,0.38992533,1.0079333,0.46104726,Proliferative nIPC-like,0.46104726,0.7742547249709416
156,HALLMARK_HYPOXIA,-0.5045382,-1.5789677,0.0,OPC-like 5,0.0004997501249375312,7.601402334583733
157,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.45531908,1.2131642,0.16007534,OPC-like 5,0.16007534,1.832110699575154
158,GOBP_REGULATION_OF_WOUND_HEALING,0.4194393,1.1219145,0.2576687,OPC-like 5,0.2576687,1.3560806277614903
159,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.39187792,-1.0370824,0.3943662,OPC-like 5,0.3943662,0.9304753597232543
160,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.3834604,1.0185732,0.41353384,OPC-like 5,0.41353384,0.8830159298983739
161,GOBP_ASTROCYTE_DIFFERENTIATION,-0.3390353,-0.897306,0.65294117,OPC-like 5,0.65294117,0.42626824564783766
162,HALLMARK_HYPOXIA,0.7925001,2.6332412,0.0,Hypoxic 1,0.0004997501249375312,7.601402334583733
163,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.71539295,-1.7463393,0.0,Hypoxic 1,0.0004997501249375312,7.601402334583733
164,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.54100144,-1.3890618,0.03021978,Hypoxic 1,0.03021978,3.499258602111097
165,GOBP_REGULATION_OF_WOUND_HEALING,0.44145367,1.2808949,0.077192985,Hypoxic 1,0.077192985,2.56144669395579
166,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.4408025,-1.1338208,0.23777173,Hypoxic 1,0.23777173,1.436444183205363
167,GOBP_ASTROCYTE_DIFFERENTIATION,-0.3785467,-0.94454867,0.5498534,Hypoxic 1,0.5498534,0.5981035817397191
