,0: NPC-OPC-like 2,1: NPC-neuronal-like 1,2: NPC-neuronal-like 3,3: NPC-OPC-like 1,4: NPC-neuronal-like 3,5: Cycling,6: AC-progenitor-like,7: AC-gliosis-like 2,8: Gliosis-hypoxia
5.405213356018066,1611.3064266323086,0.0300004582769024,0.0300004466230826,0.0300003035765276,0.0300003788445952,0.0300003287500613,0.0300002644944287,0.0300005383868322,0.030001135541013
5.771660327911377,1649.4689695139737,0.0300004582769024,0.0300004466230826,0.0300003035765276,0.0300003788445952,0.0300003287500613,0.0300002644944287,0.0300005383868322,0.030001135541013
5.791129112243652,1651.3509887564,0.0300004582769024,0.0300004466230826,0.0300003035765276,0.0300003788445952,0.0300003287500613,0.0300002644944287,0.0300005383868322,0.030001135541013
6.247828960418701,1691.80607919049,0.0300004582769024,0.0300004466230826,0.0300003035765276,0.0300003788445952,0.0300003287500613,0.0300002644944287,0.0300005383868322,0.030001135541013
6.446134090423584,1707.3829508302629,0.0300004582769024,0.0300004466230826,0.0300003035765276,0.0300003788445952,0.0300003287500613,0.0300002644944287,0.0300005383868322,0.030001135541013
6.519456386566162,1712.870016534483,0.0300004582769024,0.0300004466230826,0.0300003035765276,0.0300003788445952,0.0300003287500613,0.0300002644944287,0.0300005383868322,0.030001135541013
6.578037738800049,1717.153437700596,0.0300004582769024,0.0300004466230826,0.0300003035765276,0.0300003788445952,0.0300003287500613,0.0300002644944287,0.0300005383868322,0.030001135541013
6.606493949890137,1719.2026868789271,0.0300004582769024,0.0300004466230826,0.0300003035765276,0.0300003788445952,0.0300003287500613,0.0300002644944287,0.0300005383868322,0.030001135541013
6.629000186920166,1720.809129252605,0.0300004582769024,0.0300004466230826,0.0300003035765276,0.0300003788445952,0.0300003287500613,0.0300002644944287,0.0300005383868322,0.030001135541013
6.661008358001709,1723.0722742618095,0.0300004582769024,0.0300004466230826,0.0300003035765276,0.0300003788445952,0.0300003287500613,0.0300002644944287,0.0300005383868322,0.030001135541013
6.707374572753906,1726.306454550479,0.0300004582769024,0.0300004466230826,0.0300003035765276,0.0300003788445952,0.0300003287500613,0.0300002644944287,0.0300005383868322,0.030001135541013
6.805277824401856,1732.9683173933804,0.0300004582769024,0.0300004466230826,0.0300003035765276,0.0300003788445952,0.0300003287500613,0.0300002644944287,0.0300005383868322,0.030001135541013
