,time,variable,value
0,0.7191637925662363,ETV6,0.49211039059509204
1,0.2721603103059931,ETV6,0.3255729741060037
2,0.26377423136521744,ETV6,0.3249202594145181
3,0.9907347613730838,ETV6,0.5724968039486861
4,0.8051809994464518,ETV6,0.5724968039486861
5,0.7493599687607753,ETV6,0.4921103905930355
6,0.7065655705906732,ETV6,0.4921104626718382
7,0.6174808318584298,ETV6,0.4976320561071805
8,0.742041849310906,ETV6,0.4921103905930355
9,0.1713744949291117,ETV6,0.11936524093876609
10,0.9319451693471626,ETV6,0.5724968039486861
11,0.7389665217008529,ETV6,0.4921103905930355
12,0.8317988831349886,ETV6,0.5724968039486861
13,0.9826454554643432,ETV6,0.5724968039486861
14,0.8141902839469326,ETV6,0.5724968039486861
15,0.7899900349832664,ETV6,0.5724968039486861
16,0.9187459617008853,ETV6,0.5724968039486861
17,0.8598697061720433,ETV6,0.5724968039486861
18,0.8797811801952568,ETV6,0.5724968039486861
19,0.8598147005697325,ETV6,0.5724968039486861
20,0.8141317959755549,ETV6,0.5724968039486861
21,0.8404022342048916,ETV6,0.5724968039486861
22,0.8564600711315434,ETV6,0.5724968039486861
23,0.8989110997971491,ETV6,0.5724968039486861
24,0.795013985520646,ETV6,0.5724968039486861
25,0.7925949261902479,ETV6,0.5724968039486861
26,0.7313012733707898,ETV6,0.49211039059303563
27,0.8713362769179092,ETV6,0.5724968039486861
28,0.879136704483579,ETV6,0.5724968039486861
29,0.8116325630118607,ETV6,0.5724968039486861
30,0.845362552362044,ETV6,0.5724968039486861
31,0.7761879817646141,ETV6,0.5724968039494411
32,0.7471872078971268,ETV6,0.4921103905930355
33,0.7090930978030378,ETV6,0.49211039942429985
34,0.8253236552888734,ETV6,0.5724968039486861
35,0.8550289757344468,ETV6,0.5724968039486861
36,0.8876992168616945,ETV6,0.5724968039486861
37,0.1027961365845694,ETV6,0.1195805487932498
38,0.8590314841086294,ETV6,0.5724968039486861
39,0.8944376801513858,ETV6,0.5724968039486861
40,0.8360973137351275,ETV6,0.5724968039486861
41,0.8713444288273164,ETV6,0.5724968039486861
42,0.770219359473018,ETV6,0.5724968056604317
43,0.9380052038267715,ETV6,0.5724968039486861
44,0.8131234918411111,ETV6,0.5724968039486861
45,0.2553076028535759,ETV6,0.3222478689420403
46,0.7816756414011855,ETV6,0.5724968039486866
47,0.786460733078459,ETV6,0.5724968039486861
48,0.1572971564784634,ETV6,0.11936524093876609
49,0.8201321553125129,ETV6,0.5724968039486861
50,0.7362344448781688,ETV6,0.4921103905930355
51,0.7439116440657123,ETV6,0.4921103905930355
52,0.8122757724075141,ETV6,0.5724968039486861
53,0.767344109794823,ETV6,0.5724968744927279
54,0.9739827458307956,ETV6,0.5724968039486861
55,0.7954636859988177,ETV6,0.5724968039486861
56,0.7477023610848107,ETV6,0.4921103905930355
57,0.9460597651895919,ETV6,0.5724968039486861
58,0.279779654680171,ETV6,0.3257279634381259
59,0.27467471927579235,ETV6,0.32564666047315083
60,0.8488811697253954,ETV6,0.5724968039486861
61,0.7431486095162483,ETV6,0.4921103905930355
62,0.940591575161896,ETV6,0.5724968039486861
63,0.929354999063965,ETV6,0.5724968039486861
64,0.8100698498929761,ETV6,0.5724968039486861
65,0.8002266962904153,ETV6,0.5724968039486861
66,0.8095947439495644,ETV6,0.5724968039486861
67,0.799341620534098,ETV6,0.5724968039486861
68,0.9904385225681211,ETV6,0.5724968039486861
69,0.8005673353009841,ETV6,0.5724968039486861
70,0.8220898798862648,ETV6,0.5724968039486861
71,0.833001171055423,ETV6,0.5724968039486861
