time,SYN3,MYT1L,CUX2,CA8,BCAS1,MYRFL,CEMIP2,MKI67,RYR3,GFAP,SERPINA3,SERPINE1,HILPDA
5.405213356018066,8.919496021691481,19.910420937198847,0.1169922195736606,0.0107640770401949,0.002495631403415,0.074130172019201,0.4394985592608493,0.0034924684280294,0.1908069458905858,0.0193722006172478,0.0170825238864646,0.0097627611390551,0.047915192087684
5.771660327911377,8.919496072063149,19.91042104963709,0.1169922202341928,0.010764077100734,0.0024956314173572,0.0741301724377383,0.4394985617390971,0.0034924684473912,0.1908069469674267,0.0193722007259563,0.0170825239827994,0.0097627611918941,0.0479151923580945
5.791129112243652,8.919496073350526,19.91042105251074,0.1169922202510744,0.0107640771022813,0.0024956314177135,0.0741301724484351,0.4394985618024351,0.0034924684478861,0.1908069469949481,0.0193722007287346,0.0170825239852615,0.0097627611932446,0.0479151923650055
6.247828960418701,8.919496088041111,19.91042108530265,0.1169922204437144,0.0107640771199371,0.0024956314217797,0.0741301725704989,0.4394985625252007,0.0034924684535328,0.1908069473090021,0.0193722007604387,0.0170825240133569,0.0097627612086547,0.047915192443869
6.446134090423584,8.919496089938136,19.910421089537135,0.1169922204685905,0.010764077122217,0.0024956314223048,0.0741301725862612,0.4394985626185329,0.003492468454262,0.1908069473495565,0.0193722007645327,0.0170825240169849,0.0097627612106447,0.0479151924540528
6.519456386566162,8.919496090369712,19.91042109050049,0.1169922204742498,0.0107640771227357,0.0024956314224242,0.0741301725898472,0.4394985626397661,0.0034924684544279,0.1908069473587827,0.0193722007654641,0.0170825240178103,0.0097627612110974,0.0479151924563697
6.578037738800049,8.919496090644046,19.91042109111285,0.1169922204778472,0.0107640771230654,0.0024956314225002,0.0741301725921266,0.4394985626532631,0.0034924684545333,0.1908069473646474,0.0193722007660562,0.017082524018335,0.0097627612113852,0.0479151924578424
6.606493949890137,8.919496090758566,19.91042109136848,0.1169922204793489,0.0107640771232031,0.0024956314225319,0.0741301725930782,0.4394985626588974,0.0034924684545773,0.1908069473670956,0.0193722007663033,0.017082524018554,0.0097627612115053,0.0479151924584571
6.629000186920166,8.919496090841502,19.91042109155361,0.1169922204804364,0.0107640771233028,0.0024956314225548,0.0741301725937673,0.4394985626629778,0.0034924684546092,0.1908069473688686,0.0193722007664823,0.0170825240187126,0.0097627612115923,0.0479151924589024
6.661008358001709,8.919496090948886,19.910421091793307,0.1169922204818446,0.0107640771234318,0.0024956314225845,0.0741301725946595,0.439498562668261,0.0034924684546505,0.1908069473711642,0.0193722007667141,0.017082524018918,0.0097627612117049,0.0479151924594788
