,12,6,7,3,9,5,11,13,4,8
PD60967c_lo0007,0.0,0.0,0.0,7.765156681337292e-17,0.0,0.0,0.7699058579603999,0.001543232645441008,0.0,0.2285509093941591
PD60967c_lo0014,0.014951052517560157,0.0,0.09497711532768639,8.61141166777655e-17,0.0,0.0,0.6323769112158021,0.0021215628513918984,0.0011424529284457927,0.2544309051591137
PD60967c_lo0012,0.002221864368418264,0.0024941292548366118,0.0,4.9124743264715556e-17,0.0,0.0,0.7821112188699617,0.0006764647968821374,0.0,0.21249632270990132
PD60967a_lo0033,0.0,0.15885104678803585,0.0,1.6422791767802074e-17,0.0,0.0,0.0,0.0007110256783258845,0.839906518420219,0.0005314091134192456
PD60967a_lo0027,0.0,0.15982679543854306,0.0,2.7312324182279146e-17,0.0,0.0,0.0011231127160058318,0.002710822306030753,0.8363392695394203,0.0
PD60967a_lo0028,0.0,0.14838733340016835,0.0,6.725608812365734e-17,0.0,0.0,0.0,0.0015749864213856002,0.850037680178446,0.0
PD60967a_lo0031,0.0,0.10061909970128195,1.2667476775846633e-16,5e-324,0.0,0.023359315094825764,5e-324,5e-324,0.8760215852038921,0.0
PD60967a_lo0035,0.0,0.18891736766687722,0.0,0.0,0.0,0.008963353735644466,0.0,0.0,0.8010018630869792,0.0011174155104991988
PD60967a_lo0036,0.0492544367813921,0.17638807382116192,0.0,2.4127809564243085e-17,1.280149067035488e-16,0.004895228376013051,0.0,0.0008106693722752466,0.7679923250854189,0.0006592665637386986
PD60967a_lo0037,0.015220969753159978,0.23619771996601677,1.3667700834143847e-16,0.0,0.0,0.0034923614348314693,0.0,0.0,0.7450889488459916,0.0
PD60967a_lo0039,0.00666067921561127,0.10030679874874832,0.0,5.5364436398317884e-17,0.0,0.009285219345503104,0.0,0.0006169671963291531,0.8831303354938083,0.0
PD60967a_lo0026,0.005488446129558617,0.1451589784691811,0.0,2.343228242502875e-17,0.0,0.0,0.0012333793601332769,0.0008506517171744452,0.8472685443239525,0.0
PD60967a_lo0030,0.025089346032902676,0.1392291761495866,1.2982755424434893e-16,0.0,1.2982755424434893e-16,0.014592591709789734,0.001359748907266514,0.0,0.8197291372004543,0.0
PD60967a_lo0025,0.010843068491090378,0.17788300616513095,0.0,0.0,0.0,0.0033526573255213393,0.0,0.0,0.8079212680182574,0.0
PD60967a_lo0005,0.026880501805559818,0.2701055484668288,0.0,0.0,0.0,0.010716071886178583,0.0,0.6913105551664399,0.0009873226749927905,0.0
PD60967a_lo0004,0.0,0.19738427487482996,0.0,0.0,0.0032961614208111456,0.030434076670862144,0.0,0.7659561879259407,0.0029292991075560806,0.0
PD60967a_lo0003,0.0,0.23753032545675032,1.514115498734821e-16,0.0,0.0,0.025604286571834167,5e-324,0.7348979908803545,0.00196739709106094,5e-324
PD60967a_lo0023,0.046723159455891485,0.493927825546471,0.0,0.0,0.12125943501466373,0.02133801853571852,0.0033535448910844657,0.2841796314504897,0.02773776224983227,0.0014806228558487302
PD60967a_lo0020,1.3399125710993957e-16,0.5294700663663005,6.699562855496978e-17,0.013374895124568784,0.25470669922884176,0.040693526832549745,0.002599765355369182,0.09876324566027453,0.05953096930269107,0.0008608321294044923
PD60967a_lo0009,0.03877261723353813,0.4727463900008416,0.0,0.0,0.0513161574860624,0.04151024890067767,0.0026501660563007473,0.38008008343789773,0.010376194177314751,0.0025481427073668983
PD60967a_lo0019,0.008109811242739904,0.42763242348876906,0.0,0.062461463968343046,0.113796290711404,0.06852129542493779,5e-324,0.3004264391891378,0.019052275974668225,5e-324
PD60967a_lo0022,1.3833250157565755e-16,0.563078192245308,0.0,3.458312539391439e-17,0.18823185825216604,0.020061250650719308,0.0,0.11973004849052184,0.10840752394470105,0.0004911264165835151
PD60967c_lo0030,0.03545850843077985,0.0010309337156023104,0.07514170551058019,3.7271807229566995e-17,0.0797394402623065,0.7934928471534278,0.0,0.0013189550742734374,0.008328962750161479,0.005488647102868423
PD60967c_lo0023,0.0038728976933009905,0.021778593214387316,1.8879010950196971e-16,5.991873592591812e-18,0.32227536931618755,0.6388497847085577,0.0,0.000695594725626273,0.010807215255548765,0.0017205450863913532
PD60967c_lo0027,0.06910341953437951,0.0011204387974682551,0.0,5e-324,0.21628602322947676,0.708675677627717,0.0,5e-324,0.004076871887312668,0.0007375689236458533
PD60967c_lo0021,0.023638879547588015,0.005927465996013665,0.046484517208278356,5e-324,0.0,0.9021824779148511,0.00330281895739302,5e-324,0.01520254396788869,0.0032612964079871856
PD60967c_lo0006,0.010589066990025653,5e-324,0.0,2.8869653620263407e-18,0.4428330638273252,0.0,0.0,0.0006216519388330348,0.000698532823001826,0.5452576844208142
PD60967c_lo0015,0.013789130683175851,0.0007993188883236866,0.035267995451741196,4.849408888479208e-17,0.2098347183692537,0.049038664000593264,0.23843894596939116,0.0006649166279619027,0.0015417287521530848,0.45062458125740606
PD60967c_lo0002,0.01842113923774548,0.0014335627378471538,0.01912866441811265,8.294375372378624e-18,0.2596176328388089,0.08205740573416632,0.11991876299323326,0.0005811449095551066,0.0,0.49884168713053106
PD60967c_lo0005,0.050713246890745814,0.000673560408230149,0.0,3.7538534382722136e-17,0.3359219218344367,0.0,0.0,0.0005881108043191273,0.0006404608140067998,0.6114626992482615
PD60967a_lo0040,0.06692199069438101,0.3367443087076485,1.3002051096634043e-16,4.875769161237766e-17,0.0,0.009889184489425152,0.0,0.11655554799355253,0.4698889681149926,0.0
PD60967a_lo0034,0.0,0.2958617230574231,0.0,1e-323,0.0,0.0,0.0,1e-323,0.7032565514273132,0.0008817255152636328
PD60967a_lo0013,0.0424381921771248,0.4409489946067527,1.2245598688352236e-16,2.009043534807789e-17,0.08597900885931413,0.014720607794210697,0.002536515779197701,0.001618034508395548,0.4100804653948314,0.0016781808801729322
