batch	factor	cluster	top_n_per_patient	top_n_per_factor	environment
sp_batchAT15	AT15_15	10	Exc L2-3 IT, Inh VIP, Inh SST, Inh LAMP5, Inh PAX6, Undefined_7, Inh RELN, OPCs, Inh Chandelier, Inh PVALB	Exc L2-3 IT, Neural-support Astrocytes, Inh SST, Undefined_3, Inh PVALB, Inh VIP, Inh LAMP5, Inh Chandelier, OPCs, Inh RELN	Grey matter
sp_batchAT15	AT15_2	1	AClike.2, Resident-Microglia TAMs, Phagocytotic astrocytes, RTN1+ TAMs, AClike_MES2like.1, Ion-channel Astrocytes, NPC1like_OPClike.2, Macrophage (microglia), Undefined_9, OPClike.3	AClike.2, Resident-Microglia TAMs, Macrophage (microglia), OPClike.2, NPC1like_OPClike.2, NPC1like_OPClike.1, AClike_MES1like.2, NPC2like.2, NPC2like_OPClike.1, Ion-channel Astrocytes	Dev-like (AC)
sp_batchAT15	AT15_3	10	Exc L4-5 IT, Exc L4 IT, Exc L5-6 NP, L5 ET, Undefined_2, Inh Chandelier, Inh PVALB, Undefined_3, Inh SST, Undefined_1	Exc L4-5 IT, Undefined_3, Inh PVALB, Undefined_1, Neural-support Astrocytes, Inh SST, Inh Chandelier, Exc L4 IT, Exc L5-6 NP, Oligo.-associated Astrocytes	Grey matter
sp_batchAT15	AT15_4	8	NPC2like.1, Endothelial (CNA-associated), Lymphoid DC, Undefined_9, OPClike.5, Ambiguous (lymphocyte 1), Undefined_10, NPC1like_OPClike.3, NPC2like_OPClike.1, OPClike.1	NPC2like.1, NPC2like.5, NPC2like.2, Monocyte, NPC2like_OPClike.1, AClike.2, NPC2like.4, OPClike.1, AClike_MES1like.2, AClike_MES1like.4	Dev-like (Neuron)
sp_batchAT15	AT15_5	0	Pericytes, Endothelial (Other), NK cells, T proliferatve cells, Pericyte (CNA-associated), IFN-response T cells, Endothelial (venule), Plasma cells, Anti-inflammatory TAMs, NK T cells	Pericytes, Endothelial (Other), MES1like_NPC2like.1, Proliferatve TAMs, Anti-inflammatory TAMs, Pericyte (CNA-associated), Monocyte, AClike_MES1like.1, NK cells, RTN1+ TAMs	Vasculature
sp_batchAT15	AT15_6	2	ECM Astrocytes, Pro-inflammatory TAMs, A1-state Astrocytes, Inflammatory Astrocytes, Endothelial (arteriole), Inh RELN, Endothelial (venule), Oligo.-associated Astrocytes, Neural-support Astrocytes, Resident BAM TAMs	ECM Astrocytes, Pro-inflammatory TAMs, Neural-support Astrocytes, Endothelial (arteriole), A1-state Astrocytes, Oligo.-associated Astrocytes, AClike_MES1like.2, Inh RELN, Inflammatory Astrocytes, Monocyte	Astrocyte rich
sp_batchAT15	AT15_7	15	MES1like_MES2like.1, MES2like.2, AClike_MES1like.4, AClike_MES1like.1, MES2like.1, Plasma cells, NK T cells, IFN-response T cells, T reg, CD8 T cells	MES1like_MES2like.1, AClike_MES1like.1, AClike_MES1like.4, MES2like.1, Angiogenic TAMs, Stress-response TAMs, MES2like.2, VLMC, NPC2like.1, Plasma cells	Gliosis
sp_batchAT15	AT15_8	0	Ambiguous (vascular), VLMC, Endothelial (arteriole), Resident BAM TAMs, Endothelial (venule), Pericytes, AClike_MES1like.1, Pericyte (CNA-associated), NPC1like_OPClike.1, OPClike.3	VLMC, Endothelial (arteriole), Ambiguous (vascular), Resident BAM TAMs, Pericytes, Endothelial (venule), AClike_MES1like.1, Pericyte (CNA-associated), NPC1like_OPClike.1, OPClike.3	Vasculature
sp_batchAT15	AT15_9	4	Ambiguous (neurons), OPClike.4, Undefined_6, OPClike.2, NPC1like_OPClike.1, NPC2like.4, NPC2like.3, Phagocytotic astrocytes, Undefined_7, Ion-channel Astrocytes	NPC2like.3, NPC1like_OPClike.1, OPClike.2, NPC2like.4, OPClike.4, Resident-Microglia TAMs, Ambiguous (neurons), NPC2like.5, NPC1like_OPClike.2, Undefined_6	Proliferative
sp_batchAT3	AT3_0	5	Stress-response TAMs, Naïve T cells, Angiogenic TAMs, T reg, Plasma cells, MES2like.1, Mixed CD4/CD8 T cells, Proliferatve TAMs, Interferon TAMs, NK cells	Stress-response TAMs, MES2like.1, Angiogenic TAMs, Naïve T cells, Proliferatve TAMs, Mixed CD4/CD8 T cells, T reg, Plasma cells, Interferon TAMs, MES1like_MES2like.1	Hypoxic 1
sp_batchAT3	AT3_1	14	Proliferatve TAMs, Resident-Microglia TAMs, Monocyte, Interferon TAMs, RTN1+ TAMs, Anti-inflammatory TAMs, Pro-inflammatory TAMs, Resident BAM TAMs, Phagocytotic astrocytes, Macrophage (microglia)	Proliferatve TAMs, Resident-Microglia TAMs, Anti-inflammatory TAMs, Resident BAM TAMs, Angiogenic TAMs, RTN1+ TAMs, Pro-inflammatory TAMs, Phagocytotic astrocytes, Monocyte, Interferon TAMs	Immune (TAMs)
sp_batchAT3	AT3_10	0	Endothelial (Other), Pericytes, Endothelial (capillary), Endothelial (venule), Endothelial (arteriole), Pericyte (CNA-associated), Ambiguous (vascular), Endothelial (CNA-associated), T proliferatve cells, Lymphoid DC	Pericytes, Endothelial (Other), Endothelial (capillary), Endothelial (arteriole), Endothelial (venule), Pericyte (CNA-associated), Ambiguous (vascular), Resident-Microglia TAMs, Anti-inflammatory TAMs, Endothelial (CNA-associated)	Vasculature
sp_batchAT3	AT3_11	2	NPC2like.4, Undefined_5, Undefined_6, Inh SST (Chodl), Undefined_3, Undefined_0, Undefined_4, Ambiguous (neurons), Undefined_2, Undefined_1	NPC2like.4, Undefined_6, Undefined_0, Undefined_5, Oligo.-associated Astrocytes, AClike_MES1like.4, A1-state Astrocytes, Undefined_1, Endothelial (venule), Inh SST	Astrocyte rich
sp_batchAT3	AT3_12	10	Exc L2-3 IT, Exc L4-5 IT, Inh SST, Inh VIP, Exc L6b, Inh PVALB, Exc L6 IT, Inh RELN, Undefined_0, Exc L6 Car3	Exc L2-3 IT, Undefined_6, Inh SST, Inh VIP, Exc L4-5 IT, Undefined_0, Exc L6b, Inh PVALB, Undefined_1, Inh RELN	Grey matter
sp_batchAT3	AT3_13	1	NPC1like.1, AClike.1, NPC1like_OPClike.3, NPC1like_OPClike.1, OPCs, Endothelial (capillary), OPClike.2, Phagocytotic astrocytes, Endothelial (CNA-associated), AClike.2	AClike.1, NPC1like.1, AClike.3, NPC1like_OPClike.3, NPC1like_OPClike.1, OPClike.2, AClike.2, OPClike.3, AClike_MES1like.1, NPC2like.1	Dev-like (AC)
sp_batchAT3	AT3_14	0	VLMC, Resident BAM TAMs, Pericytes, Anti-inflammatory TAMs, Endothelial (arteriole), Ambiguous (vascular), Monocyte, Naïve T cells, NK cells, Lymphoid DC	VLMC, Pericytes, Resident BAM TAMs, Anti-inflammatory TAMs, Proliferatve TAMs, Resident-Microglia TAMs, Endothelial (arteriole), Naïve T cells, Monocyte, Ambiguous (vascular)	Vasculature
sp_batchAT3	AT3_15	4	AClike.3, NPC1like.1, AClike_MES2like.1, NPC1like_OPClike.3, OPClike.3, OPClike.2, NPC1like_OPClike.1, AClike_MES1like.2, AClike_MES1like.1, NPC2like_OPClike.1	AClike.3, NPC1like.1, NPC1like_OPClike.3, OPClike.2, AClike_MES1like.1, OPClike.3, AClike_MES1like.2, NPC1like_OPClike.1, AClike_MES2like.1, AClike.2	Proliferative
sp_batchAT3	AT3_2	7	A1-state Astrocytes, Inflammatory Astrocytes, ECM Astrocytes, Oligo.-associated Astrocytes, Neural-support Astrocytes, MES1like_NPC2like.1, Ambiguous (oligo.), Ion-channel Astrocytes, NPC2like.2, Undefined_4	A1-state Astrocytes, Neural-support Astrocytes, Oligo.-associated Astrocytes, Inflammatory Astrocytes, ECM Astrocytes, MES1like_NPC2like.1, Endothelial (Other), MES2like.2, Ion-channel Astrocytes, Ambiguous (oligo.)	Pial layer
sp_batchAT3	AT3_3	6	NPC1like_OPClike.2, OPClike.2, OPClike.3, NPC2like.5, NPC2like.3, OPClike.5, OPClike.4, AClike.4, Oligo.-associated Astrocytes, T proliferatve cells	OPClike.2, AClike.3, OPClike.3, AClike.1, AClike_MES1like.4, NPC1like_OPClike.2, AClike.4, NPC1like.1, Oligo.-associated Astrocytes, NPC2like_OPClike.1	Dev-like (OPC)
sp_batchAT3	AT3_4	1	AClike.2, NPC2like.1, Oligodendrocytes 2, AClike_MES2like.1, Exc L6CT, Oligodendrocytes 1, Exc L5-6 NP, Ambiguous (neurons), Ambiguous (lymphocyte 1), NPC2like_OPClike.1	AClike.2, AClike.1, MES1like_MES2like.1, NPC1like_OPClike.3, NPC2like.1, AClike.3, AClike_MES1like.1, NPC1like_OPClike.1, NPC1like.1, AClike_MES2like.1	Dev-like (AC)
sp_batchAT3	AT3_5	18	AClike_MES1like.4, Naïve T cells, Endothelial (venule), CD8+ T cytotoxic cells , B cells, NPC1like_OPClike.2, T proliferatve cells, NK cells, Resident-Microglia TAMs, CD8 T cells	AClike_MES1like.4, MES2like.1, Naïve T cells, NPC2like.4, Resident-Microglia TAMs, Endothelial (venule), NPC1like_OPClike.2, Stress-response TAMs, CD8+ T cytotoxic cells , OPClike.2	Gliosis (diffuse)
sp_batchAT3	AT3_6	15	MES1like_MES2like.1, MES2like.2, MES1like_NPC2like.1, Angiogenic TAMs, NPC2like.1, NPC2like.2, AClike_MES2like.1, Exc L6CT, Proliferatve TAMs, Undefined_8	MES1like_MES2like.1, MES2like.2, AClike.2, VLMC, Angiogenic TAMs, NPC2like.1, AClike_MES1like.1, Proliferatve TAMs, MES1like_NPC2like.1, A1-state Astrocytes	Gliosis
sp_batchAT3	AT3_7	11	AClike_MES1like.1, AClike.4, OPClike.1, AClike_MES1like.3, Inflammatory Astrocytes, NPC2like.3, NPC2like_OPClike.1, MES1like_NPC2like.1, AClike.1, NPC2like.5	AClike_MES1like.1, AClike.1, AClike_MES1like.4, AClike.4, NPC2like.4, AClike.3, OPClike.1, NPC1like.1, AClike_MES1like.3, MES2like.2	Gliosis transition
sp_batchAT3	AT3_8	17	MES2like.1, Naïve T cells, MES2like.2, T reg, Mixed CD4/CD8 T cells, Plasma cells, Stress-response TAMs, CD8+ T cytotoxic cells , NK cells, Angiogenic TAMs	MES2like.1, Stress-response TAMs, Naïve T cells, MES2like.2, Angiogenic TAMs, Mixed CD4/CD8 T cells, MES1like_MES2like.1, T reg, Plasma cells, NK cells	Hypoxic 1
sp_batchAT3	AT3_9	16	AClike_MES1like.2, ECM Astrocytes, NPC1like_OPClike.1, OPClike.5, Neural-support Astrocytes, OPCs, Oligo.-associated Astrocytes, OPClike.4, Undefined_8, Resident-Microglia TAMs	AClike_MES1like.2, NPC1like_OPClike.1, Neural-support Astrocytes, ECM Astrocytes, OPClike.2, Resident-Microglia TAMs, Oligo.-associated Astrocytes, OPClike.5, OPClike.3, OPCs	Gliosis transition
sp_batchAT4	AT4_0	15	MES1like_MES2like.1, Ambiguous (lymphocyte 1), T reg, AClike_MES1like.1, Undefined_2, Undefined_3, Pericyte (CNA-associated), Stress-response TAMs, Inh Chandelier, CD8 T cells	MES1like_MES2like.1, AClike_MES1like.1, Angiogenic TAMs, MES2like.1, Stress-response TAMs, VLMC, RTN1+ TAMs, Ambiguous (lymphocyte 1), IFN-response T cells, T reg	Gliosis
sp_batchAT4	AT4_1	17	MES2like.1, Naïve T cells, B cells, Inh Chandelier, Endothelial (venule), L5 ET, NK T cells, Inh PAX6, Endothelial (arteriole), Undefined_3	MES2like.1, Naïve T cells, AClike_MES1like.4, B cells, Endothelial (venule), NK T cells, AClike.2, Inh Chandelier, Endothelial (arteriole), CD8 T cells	Hypoxic 1
sp_batchAT4	AT4_10	6	OPClike.4, NPC2like.3, L5 ET, NPC1like_OPClike.2, NPC1like_OPClike.1, OPClike.2, NPC2like.5, NPC2like.2, NPC2like.1, OPClike.5	OPClike.4, OPClike.2, NPC1like_OPClike.2, NPC1like_OPClike.1, NPC2like.3, AClike.2, AClike.3, NPC1like.1, OPClike.3, NPC1like_OPClike.3	Dev-like (OPC)
sp_batchAT4	AT4_11	2	Exc L4-5 IT, Exc L6 IT, Exc L2-3 IT, Inh SST, Exc L6CT, Ambiguous (neurons), Exc L5-6 NP, Exc L6b, Exc L6 Car3, Inh PVALB	NPC2like.4, Neural-support Astrocytes, Exc L6 IT, Exc L4-5 IT, Ambiguous (neurons), Exc L2-3 IT, Inh SST, Exc L6CT, Naïve T cells, Exc L5-6 NP	Astrocyte rich
sp_batchAT4	AT4_12	14	Proliferatve TAMs, IFN-response T cells, T proliferatve cells, RTN1+ TAMs, Lymphoid DC, Interferon TAMs, Monocyte, NK cells, Macrophage (microglia), Anti-inflammatory TAMs	Proliferatve TAMs, MES1like_MES2like.1, Interferon TAMs, RTN1+ TAMs, IFN-response T cells, Ambiguous (oligo.), T proliferatve cells, Resident-Microglia TAMs, Pro-inflammatory TAMs, Macrophage (microglia)	Immune (TAMs)
sp_batchAT4	AT4_13	12	Resident-Microglia TAMs, Pro-inflammatory TAMs, Interferon TAMs, Anti-inflammatory TAMs, NK T cells, Phagocytotic astrocytes, CD8+ T cytotoxic cells , Macrophage (microglia), Mixed CD4/CD8 T cells, Lymphoid DC	Resident-Microglia TAMs, Interferon TAMs, Naïve T cells, Pro-inflammatory TAMs, OPClike.2, Anti-inflammatory TAMs, Oligodendrocytes 1, RTN1+ TAMs, NPC1like_OPClike.2, NPC1like_OPClike.1	Immune (resident)
sp_batchAT4	AT4_14	7	OPCs, A1-state Astrocytes, Neural-support Astrocytes, Oligo.-associated Astrocytes, Ion-channel Astrocytes, Endothelial (capillary), ECM Astrocytes, Inh PAX6, Endothelial (arteriole), Undefined_7	OPCs, A1-state Astrocytes, Neural-support Astrocytes, Oligodendrocytes 2, Endothelial (capillary), Interferon TAMs, OPClike.2, Ambiguous (oligo.), Macrophage (microglia), Endothelial (Other)	Pial layer
sp_batchAT4	AT4_15	9	MES2like.2, MES2like.1, Undefined_10, NPC2like.5, MES1like_NPC2like.1, L5 ET, NPC2like.2, Inh SST (Chodl), Undefined_9, Inh Chandelier	MES2like.2, MES2like.1, MES1like_NPC2like.1, Angiogenic TAMs, NPC2like.3, Undefined_10, NPC2like.5, AClike.3, OPClike.1, NPC2like.2	Hypoxic 2
sp_batchAT4	AT4_2	4	AClike.3, NPC1like.1, AClike_MES2like.1, L5 ET, NPC2like_OPClike.1, AClike.1, AClike.4, AClike_MES1like.3, OPClike.3, NPC1like_OPClike.3	AClike.3, NPC1like.1, NPC1like_OPClike.1, AClike.1, OPClike.3, NPC1like_OPClike.3, NPC1like_OPClike.2, OPClike.4, AClike_MES2like.1, AClike.2	Proliferative
sp_batchAT4	AT4_3	0	Pericytes, VLMC, Endothelial (Other), Resident BAM TAMs, Endothelial (capillary), Pericyte (CNA-associated), Endothelial (arteriole), Ambiguous (vascular), Mixed CD4/CD8 T cells, CD8+ T cytotoxic cells 	Pericytes, VLMC, Resident BAM TAMs, Endothelial (Other), Endothelial (capillary), Mixed CD4/CD8 T cells, Pericyte (CNA-associated), RTN1+ TAMs, CD8+ T cytotoxic cells , Anti-inflammatory TAMs	Vasculature
sp_batchAT4	AT4_4	3	Oligodendrocytes 2, Oligodendrocytes 1, Undefined_1, Ambiguous (oligo.), Ambiguous (lymphocyte 2), Undefined_4, Undefined_0, OPC (differentiating), Undefined_5, Macrophage (microglia)	Oligodendrocytes 2, Oligodendrocytes 1, Ambiguous (oligo.), Undefined_1, Resident-Microglia TAMs, OPCs, Naïve T cells, Macrophage (microglia), Undefined_6, A1-state Astrocytes	White matter
sp_batchAT4	AT4_5	15	AClike_MES1like.1, MES1like_MES2like.1, MES1like_NPC2like.1, Undefined_8, Endothelial (CNA-associated), Undefined_10, Undefined_9, OPC (differentiating), Undefined_2, AClike.4	MES1like_MES2like.1, AClike_MES1like.1, Ambiguous (oligo.), Proliferatve TAMs, MES1like_NPC2like.1, IFN-response T cells, AClike.4, Interferon TAMs, AClike_MES2like.1, Oligodendrocytes 2	Gliosis
sp_batchAT4	AT4_6	1	AClike.2, AClike_MES1like.2, A1-state Astrocytes, Inflammatory Astrocytes, AClike.4, ECM Astrocytes, Ion-channel Astrocytes, Ambiguous (lymphocyte 1), Oligo.-associated Astrocytes, AClike_MES1like.3	AClike.2, AClike_MES1like.2, A1-state Astrocytes, AClike.1, OPClike.4, AClike.4, Neural-support Astrocytes, AClike_MES1like.3, NPC1like_OPClike.2, AClike_MES2like.1	Dev-like (AC)
sp_batchAT4	AT4_7	6	AClike.1, NPC1like.1, NPC1like_OPClike.3, OPClike.5, OPClike.2, NPC2like_OPClike.1, OPClike.3, OPClike.1, AClike_MES1like.3, NPC1like_OPClike.1	OPClike.2, NPC1like.1, AClike.3, NPC1like_OPClike.1, NPC1like_OPClike.2, AClike.1, OPClike.3, NPC1like_OPClike.3, NPC2like.3, AClike.2	Dev-like (OPC)
sp_batchAT4	AT4_8	18	AClike_MES1like.4, Inflammatory Astrocytes, Undefined_8, Undefined_10, Inh SST (Chodl), Undefined_6, Undefined_9, Endothelial (venule), MES1like_NPC2like.1, ECM Astrocytes	AClike_MES1like.4, Undefined_6, NPC2like.4, Resident-Microglia TAMs, RTN1+ TAMs, T proliferatve cells, Undefined_8, MES1like_NPC2like.1, MES2like.1, Undefined_10	Gliosis (diffuse)
sp_batchAT4	AT4_9	13	Angiogenic TAMs, Stress-response TAMs, Naïve T cells, B cells, NK T cells, CD8+ T cytotoxic cells , Mixed CD4/CD8 T cells, T proliferatve cells, AClike_MES1like.4, MES2like.1	Naïve T cells, Angiogenic TAMs, Stress-response TAMs, MES2like.1, AClike_MES1like.4, NK T cells, CD8+ T cytotoxic cells , T proliferatve cells, Mixed CD4/CD8 T cells, B cells	Gliosis (diffuse)
sp_batchAT5	AT5_0	12	Interferon TAMs, IFN-response T cells, Undefined_7, Phagocytotic astrocytes, AClike.1, Resident-Microglia TAMs, NPC1like_OPClike.2, RTN1+ TAMs, Lymphoid DC, Proliferatve TAMs	Resident-Microglia TAMs, Interferon TAMs, NPC1like_OPClike.2, IFN-response T cells, AClike.1, NPC1like_OPClike.3, NPC1like.1, Pro-inflammatory TAMs, Proliferatve TAMs, NPC2like.3	Immune (resident)
sp_batchAT5	AT5_1	3	Oligodendrocytes 2, Oligodendrocytes 1, OPC (differentiating), Ambiguous (lymphocyte 2), Ambiguous (oligo.), Undefined_6, Ambiguous (vascular), Oligo.-associated Astrocytes, Undefined_4, Resident-Microglia TAMs	Oligodendrocytes 1, Oligodendrocytes 2, Resident-Microglia TAMs, Undefined_6, Ambiguous (oligo.), Neural-support Astrocytes, Oligo.-associated Astrocytes, OPC (differentiating), Ambiguous (lymphocyte 2), Undefined_1	White matter
sp_batchAT5	AT5_10	1	AClike.2, A1-state Astrocytes, Inflammatory Astrocytes, ECM Astrocytes, Oligo.-associated Astrocytes, Ion-channel Astrocytes, Ambiguous (oligo.), Undefined_4, OPClike.1, AClike_MES1like.3	AClike.2, A1-state Astrocytes, Oligo.-associated Astrocytes, Ion-channel Astrocytes, Ambiguous (oligo.), Oligodendrocytes 2, Anti-inflammatory TAMs, ECM Astrocytes, MES2like.2, Resident BAM TAMs	Dev-like (AC)
sp_batchAT5	AT5_11	15	MES2like.1, MES2like.2, Stress-response TAMs, MES1like_MES2like.1, Inh SST (Chodl), Undefined_0, AClike_MES1like.4, Endothelial (arteriole), Naïve T cells, T reg	MES2like.1, MES1like_MES2like.1, MES2like.2, AClike_MES1like.4, Stress-response TAMs, Angiogenic TAMs, AClike_MES1like.1, Endothelial (arteriole), A1-state Astrocytes, Inh SST (Chodl)	Gliosis
sp_batchAT5	AT5_12	6	OPClike.4, OPCs, OPC (differentiating), OPClike.2, OPClike.3, NPC1like_OPClike.1, NPC1like_OPClike.2, Ion-channel Astrocytes, Plasma cells, Undefined_8	OPClike.4, OPClike.2, OPClike.3, OPCs, NPC1like_OPClike.2, NPC1like_OPClike.1, AClike.3, NPC1like.1, AClike_MES1like.4, Ion-channel Astrocytes	Dev-like (OPC)
sp_batchAT5	AT5_13	4	Undefined_9, AClike.3, T proliferatve cells, Proliferatve TAMs, NPC1like.1, MES1like_NPC2like.1, NPC2like.5, Plasma cells, Endothelial (venule), Endothelial (Other)	AClike.3, Undefined_9, NPC1like.1, Proliferatve TAMs, T proliferatve cells, NPC2like.5, NPC1like_OPClike.1, MES1like_NPC2like.1, OPClike.3, Plasma cells	Proliferative
sp_batchAT5	AT5_14	4	NPC1like_OPClike.3, NPC2like.3, L5 ET, Plasma cells, AClike.3, Undefined_2, T proliferatve cells, MES1like_NPC2like.1, Ambiguous (neurons), NPC1like.1	NPC1like_OPClike.3, AClike.3, NPC2like.3, AClike_MES1like.4, NPC2like_OPClike.1, NPC1like.1, NPC2like.5, OPClike.3, MES1like_NPC2like.1, T proliferatve cells	Proliferative
sp_batchAT5	AT5_15	18	AClike_MES1like.4, Naïve T cells, NK T cells, MES2like.1, NPC2like.2, Mixed CD4/CD8 T cells, Inh SST (Chodl), NPC2like.1, T reg, Undefined_5	AClike_MES1like.4, MES2like.1, MES1like_MES2like.1, NPC1like.1, NPC1like_OPClike.2, NPC2like.2, Stress-response TAMs, OPClike.5, NPC2like.1, AClike_MES1like.1	Gliosis (diffuse)
sp_batchAT5	AT5_2	8	NPC2like_OPClike.1, OPClike.5, NPC2like.2, NPC2like.5, NPC2like.1, Proliferatve TAMs, NK T cells, Naïve T cells, MES2like.1, AClike_MES1like.2	NPC2like_OPClike.1, AClike_MES1like.4, AClike_MES1like.1, MES2like.1, MES1like_MES2like.1, OPClike.5, NPC1like_OPClike.3, NPC2like.3, Resident-Microglia TAMs, NPC2like.2	Dev-like (Neuron)
sp_batchAT5	AT5_3	15	MES1like_MES2like.1, MES2like.2, Stress-response TAMs, AClike_MES2like.1, Ambiguous (oligo.), Undefined_4, Angiogenic TAMs, Undefined_8, Ambiguous (lymphocyte 2), AClike_MES1like.1	MES1like_MES2like.1, MES2like.2, Angiogenic TAMs, AClike_MES1like.1, Stress-response TAMs, AClike_MES2like.1, Ambiguous (oligo.), NPC2like.1, VLMC, AClike_MES1like.2	Gliosis
sp_batchAT5	AT5_4	12	Resident-Microglia TAMs, Undefined_6, Endothelial (arteriole), Ambiguous (vascular), Undefined_7, Phagocytotic astrocytes, Macrophage (microglia), RTN1+ TAMs, Inflammatory Astrocytes, Pro-inflammatory TAMs	Resident-Microglia TAMs, Undefined_6, Oligodendrocytes 1, Endothelial (arteriole), A1-state Astrocytes, Pro-inflammatory TAMs, AClike_MES1like.4, Phagocytotic astrocytes, RTN1+ TAMs, Macrophage (microglia)	Immune (resident)
sp_batchAT5	AT5_5	7	Neural-support Astrocytes, Oligo.-associated Astrocytes, A1-state Astrocytes, ECM Astrocytes, Inflammatory Astrocytes, Ion-channel Astrocytes, Ambiguous (vascular), Endothelial (arteriole), Undefined_4, Pericytes	Neural-support Astrocytes, A1-state Astrocytes, Oligo.-associated Astrocytes, Ion-channel Astrocytes, Oligodendrocytes 1, ECM Astrocytes, Endothelial (arteriole), Inflammatory Astrocytes, Anti-inflammatory TAMs, Endothelial (capillary)	Pial layer
sp_batchAT5	AT5_6	10	Exc L6 IT, Exc L6b, Exc L4-5 IT, Exc L6CT, Exc L2-3 IT, Undefined_1, Inh SST, Exc L4 IT, Undefined_3, Inh LAMP5	Exc L4-5 IT, Exc L6b, Exc L6 IT, Undefined_1, Neural-support Astrocytes, Exc L2-3 IT, Inh SST, Exc L4 IT, Exc L6CT, Inh PVALB	Grey matter
sp_batchAT5	AT5_7	5	Anti-inflammatory TAMs, Angiogenic TAMs, Resident BAM TAMs, VLMC, Monocyte, Pro-inflammatory TAMs, Stress-response TAMs, RTN1+ TAMs, Macrophage (microglia), Lymphoid DC	Angiogenic TAMs, MES1like_MES2like.1, Anti-inflammatory TAMs, AClike_MES1like.1, AClike.2, Resident BAM TAMs, VLMC, Stress-response TAMs, Pro-inflammatory TAMs, Interferon TAMs	Hypoxic 1
sp_batchAT5	AT5_8	11	Pericytes, AClike_MES1like.1, Endothelial (Other), Endothelial (venule), Endothelial (arteriole), Endothelial (capillary), AClike.4, NPC2like.1, AClike_MES2like.1, Endothelial (CNA-associated)	AClike_MES1like.1, Endothelial (arteriole), OPClike.5, AClike_MES2like.1, Pericytes, Endothelial (capillary), VLMC, NPC2like.1, AClike.2, AClike.1	Gliosis transition
sp_batchAT5	AT5_9	6	OPClike.2, OPClike.3, NPC1like_OPClike.1, Ion-channel Astrocytes, OPCs, NPC1like_OPClike.2, OPClike.4, Ambiguous (neurons), Endothelial (CNA-associated), Pericyte (CNA-associated)	OPClike.2, OPClike.4, OPClike.3, NPC1like_OPClike.2, AClike.2, NPC1like_OPClike.1, Ion-channel Astrocytes, NPC1like.1, OPCs, AClike.3	Dev-like (OPC)
sp_batchAT6	AT6_0	15	MES1like_MES2like.1, Inflammatory Astrocytes, Endothelial (venule), VLMC, Ambiguous (lymphocyte 1), L5 ET, Inh Chandelier, Neural-support Astrocytes, Ambiguous (lymphocyte 2), Undefined_9	MES1like_MES2like.1, VLMC, AClike_MES1like.4, AClike_MES1like.1, Pericytes, Inflammatory Astrocytes, MES2like.2, Endothelial (venule), Endothelial (Other), Angiogenic TAMs	Gliosis
sp_batchAT6	AT6_1	17	MES2like.1, Endothelial (arteriole), CD8+ T cytotoxic cells , VLMC, Stress-response TAMs, Angiogenic TAMs, NK T cells, CD8 T cells, B cells, MES1like_MES2like.1	MES2like.1, MES1like_MES2like.1, Stress-response TAMs, Endothelial (arteriole), Naïve T cells, Angiogenic TAMs, VLMC, CD8+ T cytotoxic cells , Exc L2-3 IT, NK cells	Hypoxic 1
sp_batchAT6	AT6_10	13	Naïve T cells, CD8+ T cytotoxic cells , Endothelial (venule), NPC1like_OPClike.1, NPC2like.3, OPClike.4, Inh VIP, OPClike.5, Ambiguous (neurons), OPCs	Naïve T cells, AClike_MES1like.4, NPC1like_OPClike.1, Stress-response TAMs, CD8+ T cytotoxic cells , OPClike.5, MES2like.1, Endothelial (capillary), OPClike.4, Endothelial (venule)	Gliosis (diffuse)
sp_batchAT6	AT6_11	0	Endothelial (Other), Pericytes, Endothelial (capillary), Pericyte (CNA-associated), Endothelial (CNA-associated), VLMC, Endothelial (venule), Ambiguous (vascular), Endothelial (arteriole), T reg	Pericytes, Endothelial (capillary), Endothelial (Other), Pericyte (CNA-associated), VLMC, Endothelial (CNA-associated), Endothelial (arteriole), Endothelial (venule), NK cells, Ambiguous (vascular)	Vasculature
sp_batchAT6	AT6_12	10	Exc L2-3 IT, Exc L4-5 IT, Inh RELN, Inh PVALB, Inh VIP, OPClike.5, Inh LAMP5, Exc L6CT, Exc L4 IT, Ambiguous (neurons)	Exc L2-3 IT, Exc L4-5 IT, Inh RELN, OPClike.5, NPC1like_OPClike.1, AClike_MES1like.4, OPClike.2, OPCs, OPClike.4, Inh PVALB	Grey matter
sp_batchAT6	AT6_13	12	Resident-Microglia TAMs, Pro-inflammatory TAMs, Anti-inflammatory TAMs, Phagocytotic astrocytes, Interferon TAMs, Macrophage (microglia), RTN1+ TAMs, B cells, Lymphoid DC, Undefined_1	Resident-Microglia TAMs, Anti-inflammatory TAMs, Pro-inflammatory TAMs, Phagocytotic astrocytes, Interferon TAMs, Macrophage (microglia), RTN1+ TAMs, Oligodendrocytes 1, Naïve T cells, Ambiguous (oligo.)	Immune (resident)
sp_batchAT6	AT6_14	5	Angiogenic TAMs, CD8+ T cytotoxic cells , Stress-response TAMs, MES2like.1, Endothelial (venule), Naïve T cells, Resident BAM TAMs, NK T cells, B cells, NK cells	Angiogenic TAMs, MES2like.1, Stress-response TAMs, Naïve T cells, MES1like_MES2like.1, CD8+ T cytotoxic cells , Proliferatve TAMs, Monocyte, Resident BAM TAMs, Endothelial (venule)	Hypoxic 1
