batch	factor	cluster	top_n_per_patient	top_n_per_factor	environment
sp_batchAT12	AT12_6	10	Exc L4-5 IT, Exc L6 IT, Exc L6b, Exc L4 IT, Undefined_3, Exc L6 Car3, Exc L5-6 NP, L5 ET, Exc L2-3 IT, Undefined_2	Exc L4-5 IT, Exc L6 IT, Exc L2-3 IT, Neural-support Astrocytes, Inh SST, Oligodendrocytes 1, Undefined_3, Inh PVALB, OPCs, Exc L4 IT	Grey matter
sp_batchAT12	AT12_7	0	Pericytes, Endothelial (capillary), Endothelial (venule), Endothelial (Other), Endothelial (CNA-associated), Endothelial (arteriole), Pericyte (CNA-associated), Ambiguous (vascular), CD8 T cells, Undefined_4	Pericytes, Endothelial (capillary), Endothelial (Other), Endothelial (venule), Endothelial (arteriole), Endothelial (CNA-associated), VLMC, Pericyte (CNA-associated), Ambiguous (vascular), AClike.2	Vasculature
sp_batchAT12	AT12_8	3	Oligodendrocytes 1, Oligodendrocytes 2, Undefined_1, Ambiguous (oligo.), OPCs, Inflammatory Astrocytes, Undefined_8, Undefined_3, Undefined_2, Undefined_0	Oligodendrocytes 1, Oligodendrocytes 2, Neural-support Astrocytes, OPCs, Undefined_1, Exc L2-3 IT, Inh SST, Exc L6 IT, Ambiguous (oligo.), Oligo.-associated Astrocytes	White matter
sp_batchAT12	AT12_9	10	Exc L2-3 IT, Exc L6 Car3, L5 ET, Undefined_3, Exc L6 IT, Exc L4 IT, Inh LAMP5, Undefined_7, Inh Chandelier, Inh VIP	Exc L2-3 IT, Exc L6 IT, Exc L4-5 IT, Neural-support Astrocytes, Inh SST, Oligodendrocytes 1, Inh LAMP5, Undefined_3, OPCs, Exc L6 Car3	Grey matter
sp_batchAT13	AT13_0	3	Oligodendrocytes 2, Oligodendrocytes 1, Ambiguous (lymphocyte 2), Ambiguous (oligo.), Ambiguous (vascular), Naïve T cells, CD8+ T cytotoxic cells , Resident-Microglia TAMs, OPC (differentiating), Macrophage (microglia)	Oligodendrocytes 2, Ambiguous (oligo.), Oligodendrocytes 1, Ambiguous (lymphocyte 2), Naïve T cells, Resident-Microglia TAMs, OPC (differentiating), Ambiguous (vascular), AClike_MES1like.4, CD8+ T cytotoxic cells 	White matter
sp_batchAT13	AT13_1	14	Pro-inflammatory TAMs, Resident-Microglia TAMs, Interferon TAMs, Lymphoid DC, Proliferatve TAMs, Anti-inflammatory TAMs, Macrophage (microglia), Phagocytotic astrocytes, RTN1+ TAMs, Resident BAM TAMs	Resident-Microglia TAMs, Anti-inflammatory TAMs, Pro-inflammatory TAMs, Proliferatve TAMs, Interferon TAMs, Lymphoid DC, Macrophage (microglia), Angiogenic TAMs, Ambiguous (oligo.), Stress-response TAMs	Immune (TAMs)
sp_batchAT13	AT13_10	10	Exc L2-3 IT, Exc L6 IT, Exc L6 Car3, Exc L4 IT, Exc L6CT, Inh SST, Undefined_3, Inh VIP, Ambiguous (lymphocyte 1), Exc L6b	Exc L2-3 IT, Exc L4-5 IT, L5 ET, Exc L6 IT, Exc L6 Car3, Exc L6b, Inh PVALB, Inh SST, Exc L4 IT, Inh Chandelier	Grey matter
sp_batchAT13	AT13_11	0	Pericytes, Endothelial (Other), Endothelial (arteriole), Pericyte (CNA-associated), VLMC, Endothelial (capillary), Endothelial (venule), Endothelial (CNA-associated), AClike.3, NK T cells	Pericytes, Endothelial (Other), Endothelial (capillary), Endothelial (arteriole), Pericyte (CNA-associated), VLMC, AClike.3, Endothelial (venule), Proliferatve TAMs, Anti-inflammatory TAMs	Vasculature
sp_batchAT13	AT13_12	10	Inh PVALB, Inh LAMP5, Inh Chandelier, Inh SST, Inh SST (Chodl), Inh VIP, Inh PAX6, Ambiguous (neurons), Inh RELN, Exc L5-6 NP	Inh PVALB, Inh Chandelier, Exc L4-5 IT, Inh LAMP5, Inh SST, Exc L2-3 IT, L5 ET, Inh SST (Chodl), Inh PAX6, Inh VIP	Grey matter
sp_batchAT13	AT13_13	3	Undefined_6, Ambiguous (oligo.), Oligodendrocytes 1, Undefined_0, Undefined_1, Undefined_10, Stress-response TAMs, Ambiguous (lymphocyte 2), Ambiguous (neurons), Undefined_4	Ambiguous (oligo.), Oligodendrocytes 1, Undefined_6, Naïve T cells, OPC (differentiating), Undefined_0, Proliferatve TAMs, Undefined_1, Ambiguous (lymphocyte 2), ECM Astrocytes	White matter
sp_batchAT13	AT13_14	10	Exc L4-5 IT, Exc L4 IT, Exc L6 IT, Exc L6b, Exc L6 Car3, Exc L5-6 NP, Exc L6CT, Undefined_1, Undefined_3, Exc L2-3 IT	Exc L4-5 IT, Exc L2-3 IT, L5 ET, Exc L6b, Exc L4 IT, Exc L6 IT, Inh PVALB, Exc L5-6 NP, Exc L6 Car3, Inh Chandelier	Grey matter
sp_batchAT13	AT13_15	15	AClike_MES1like.1, MES1like_MES2like.1, MES2like.2, MES1like_NPC2like.1, Angiogenic TAMs, Endothelial (venule), OPClike.1, OPClike.5, AClike_MES2like.1, AClike_MES1like.2	MES1like_MES2like.1, AClike_MES1like.1, MES2like.2, MES1like_NPC2like.1, AClike_MES1like.4, AClike.2, Angiogenic TAMs, OPClike.1, AClike_MES1like.2, Endothelial (Other)	Gliosis
sp_batchAT13	AT13_2	3	OPC (differentiating), OPCs, Ion-channel Astrocytes, OPClike.4, Ambiguous (neurons), Exc L6b, Undefined_10, Undefined_7, Undefined_4, Undefined_2	OPC (differentiating), OPCs, Oligodendrocytes 1, Exc L6b, Ambiguous (lymphocyte 2), Endothelial (capillary), Oligo.-associated Astrocytes, Undefined_1, Undefined_0, Ion-channel Astrocytes	White matter
sp_batchAT13	AT13_3	1	AClike.1, AClike.4, AClike_MES1like.3, OPClike.2, NPC1like_OPClike.1, NPC1like.1, AClike.3, OPClike.1, AClike.2, NPC2like.4	AClike.1, AClike.2, Anti-inflammatory TAMs, AClike.3, OPClike.1, AClike_MES1like.1, NPC1like.1, AClike_MES1like.3, AClike.4, NPC2like.4	Dev-like (AC)
sp_batchAT13	AT13_4	10	L5 ET, Undefined_1, Exc L5-6 NP, Exc L6b, Inh Chandelier, Exc L4-5 IT, Undefined_3, Exc L2-3 IT, Inh PVALB, Inh SST (Chodl)	L5 ET, Exc L2-3 IT, Exc L4-5 IT, Inh PVALB, Exc L6b, Inh Chandelier, Exc L5-6 NP, Undefined_1, A1-state Astrocytes, Undefined_6	Grey matter
sp_batchAT13	AT13_5	2	ECM Astrocytes, Oligo.-associated Astrocytes, Inflammatory Astrocytes, Ion-channel Astrocytes, AClike_MES1like.2, AClike.2, Ambiguous (vascular), Stress-response TAMs, Undefined_4, Neural-support Astrocytes	ECM Astrocytes, Oligo.-associated Astrocytes, AClike.2, Inflammatory Astrocytes, Ambiguous (oligo.), AClike_MES1like.2, Neural-support Astrocytes, OPC (differentiating), Ion-channel Astrocytes, Stress-response TAMs	Astrocyte rich
sp_batchAT13	AT13_6	18	AClike_MES1like.4, NK T cells, NPC2like.4, Undefined_6, AClike_MES2like.1, T proliferatve cells, OPClike.3, NPC1like.1, AClike_MES1like.2, Proliferatve TAMs	AClike_MES1like.4, Undefined_6, Anti-inflammatory TAMs, Proliferatve TAMs, MES1like_MES2like.1, AClike_MES1like.2, NPC2like.4, Endothelial (Other), NPC1like.1, AClike_MES2like.1	Gliosis (diffuse)
sp_batchAT13	AT13_7	13	Naïve T cells, Endothelial (capillary), Resident-Microglia TAMs, CD8+ T cytotoxic cells , Ambiguous (lymphocyte 2), Undefined_6, VLMC, B cells, OPCs, Resident BAM TAMs	Naïve T cells, Endothelial (capillary), Resident-Microglia TAMs, Oligodendrocytes 2, Undefined_6, Ambiguous (lymphocyte 2), Oligodendrocytes 1, AClike_MES1like.4, CD8+ T cytotoxic cells , VLMC	Gliosis (diffuse)
sp_batchAT13	AT13_8	7	A1-state Astrocytes, Neural-support Astrocytes, Inh RELN, Ion-channel Astrocytes, Ambiguous (neurons), Inh PAX6, Undefined_7, Inh VIP, Undefined_8, Endothelial (CNA-associated)	A1-state Astrocytes, Neural-support Astrocytes, Endothelial (capillary), Inh LAMP5, Inh PAX6, Inh RELN, Inh VIP, AClike.2, Undefined_6, AClike_MES1like.4	Pial layer
sp_batchAT13	AT13_9	17	MES2like.1, Stress-response TAMs, MES1like_MES2like.1, Angiogenic TAMs, OPClike.5, Endothelial (venule), AClike_MES1like.4, AClike_MES2like.1, NK T cells, T proliferatve cells	MES2like.1, MES1like_MES2like.1, AClike_MES1like.4, Stress-response TAMs, Angiogenic TAMs, AClike_MES2like.1, Endothelial (venule), Endothelial (arteriole), Naïve T cells, NK T cells	Hypoxic 1
sp_batchAT14	AT14_0	17	MES2like.1, Stress-response TAMs, Exc L4-5 IT, MES1like_MES2like.1, OPClike.4, Exc L2-3 IT, MES2like.2, Inh RELN, Exc L6CT, Ambiguous (neurons)	MES2like.1, Stress-response TAMs, MES1like_MES2like.1, MES2like.2, Endothelial (venule), AClike_MES1like.1, AClike_MES2like.1, OPClike.4, B cells, Inh RELN	Hypoxic 1
sp_batchAT14	AT14_1	12	Resident-Microglia TAMs, Lymphoid DC, Pro-inflammatory TAMs, Monocyte, Phagocytotic astrocytes, Interferon TAMs, Macrophage (microglia), Proliferatve TAMs, Anti-inflammatory TAMs, Resident BAM TAMs	Resident-Microglia TAMs, Pro-inflammatory TAMs, Phagocytotic astrocytes, Monocyte, Lymphoid DC, Interferon TAMs, Proliferatve TAMs, Anti-inflammatory TAMs, AClike_MES1like.4, Macrophage (microglia)	Immune (resident)
sp_batchAT14	AT14_10	1	AClike_MES1like.3, Neural-support Astrocytes, AClike.2, Ion-channel Astrocytes, NPC1like_OPClike.1, OPCs, Inh RELN, NPC2like.5, ECM Astrocytes, Macrophage (microglia)	AClike_MES1like.3, AClike.2, Neural-support Astrocytes, AClike.4, ECM Astrocytes, Ion-channel Astrocytes, NPC1like_OPClike.1, OPCs, Macrophage (microglia), OPC (differentiating)	Dev-like (AC)
