,line,sample_name,ID,predictions,dist_to_edge,distance_minmax
65,E30,E30 Day 7,GSO1,NPC-neuronal-like,76.53684609594215,0.04155274816860702
66,E30,E30 Day 7,GSO1,OPC-NPC-like,73.79726445165734,0.035349970246342656
67,E30,E30 Day 7,GSO1,OPC-like,79.72580116240108,0.04877296740266031
68,E30,E30 Day 7,GSO1,Proliferative,58.18423899329286,0.0
69,E30,E30 Day 7,GSO2,AC-gliosis-like,62.236575771922666,0.534864492193499
70,E30,E30 Day 7,GSO2,AC-progenitor-like,65.01924383911305,0.5924098853337012
71,E30,E30 Day 7,GSO2,Gliosis-like,84.72869293125957,1.0
72,E30,E30 Day 7,GSO2,Hypoxic,36.37264016417271,0.0
73,E30,E30 Day 7,GSO2,NPC-neuronal-like,70.3801899861633,0.7032739000801477
74,E30,E30 Day 7,GSO2,OPC-NPC-like,65.09392220675014,0.5939542290789773
75,E30,E30 Day 7,GSO2,OPC-like,58.79475145322726,0.46368779100009533
76,E30,E30 Day 7,GSO2,OPC-neuronal-like,50.74092505065839,0.297135189170472
77,E30,E30 Day 7,GSO2,Proliferative,49.16013479103627,0.2644445502708042
