,line,sample_name,ID,predictions,dist_to_edge,distance_minmax
112,E30,E30 Day 7,GSO1,AC-progenitor-like,224.08766518804316,0.29969411362558834
114,E30,E30 Day 7,GSO1,Gliosis-like,439.77454326557137,0.752108118279847
115,E30,E30 Day 7,GSO1,Hypoxic,557.9561767228379,1.0
117,E30,E30 Day 7,GSO1,NPC-neuronal-like,104.17393225355161,0.048169066698837845
119,E30,E30 Day 7,GSO1,OPC-NPC-like,97.9738512613847,0.03516408699933692
120,E30,E30 Day 7,GSO1,OPC-like,156.96513517473173,0.1589012528056896
121,E30,E30 Day 7,GSO1,OPC-neuronal-like,81.20948926704345,0.0
124,E30,E30 Day 7,GSO1,Proliferative,104.85207901135986,0.0495915134103761
127,E30,E30 Day 7,GSO2,AC-gliosis-like,104.3020044368694,0.07733397002653747
128,E30,E30 Day 7,GSO2,AC-progenitor-like,168.63763566733158,0.22318574803006186
130,E30,E30 Day 7,GSO2,Gliosis-like,402.7068171171058,0.7538311405962037
131,E30,E30 Day 7,GSO2,Hypoxic,511.2925962952207,1.0
133,E30,E30 Day 7,GSO2,NPC-neuronal-like,92.6849761684743,0.05099764292976736
134,E30,E30 Day 7,GSO2,OPC-NPC-like,94.43691341152712,0.05496936368485742
135,E30,E30 Day 7,GSO2,OPC-like,124.58876505859111,0.12332497143617327
136,E30,E30 Day 7,GSO2,OPC-neuronal-like,70.18977183114343,0.0
139,E30,E30 Day 7,GSO2,Proliferative,80.81827177620943,0.024095288797978592
