sample_name,OPC-NPC-like,OPC-like,OPC-neuronal-like,NPC-neuronal-like,Proliferative,AC-progenitor-like,AC-gliosis-like,Gliosis-like,Hypoxic
E30: Day 28 (0.25),0.0761904761904762,0.04285714285714286,0.004761904761904762,0.004761904761904762,0.01904761904761905,0.11904761904761904,0.18095238095238095,0.18571428571428572,0.36666666666666664
E30: Day 14 (0.25),0.2850838481906443,0.0441306266548985,0.00088261253309797,0.11341571050308914,0.03353927625772286,0.205648720211827,0.2868490732568402,0.0264783759929391,0.003971756398940865
E30: Day 7 (0.25),0.46175078864353314,0.04337539432176656,0.0005914826498422713,0.07610410094637224,0.07058359621451105,0.18690851735015773,0.14649053627760253,0.005717665615141956,0.008477917981072555
cd44- E30-MOI: 0.25,0.11496522709710655,0.12561174551386622,0.0007727311754099768,0.015883918605649524,0.26126899630806216,0.06980338284536791,0.40465355885635784,0.005151541169399846,0.0018888984287799434
E25: Day 14 (0.25),0.07534940247113632,0.5292687867125785,0.14279927081223415,0.005468908243872798,0.09965566133279319,0.044966578894065225,0.012355681588008913,0.011140368644926069,0.07899534130038485
E25: Day 7 (0.25),0.0467927326659251,0.5203806698801137,0.2057347670250896,0.013076257570139662,0.08448893832653566,0.06686441725373872,0.019552589296749474,0.005734767025089606,0.03737486095661847
cd44- E25-MOI: 0.25,0.0006197322756569162,0.7120723847297967,0.1789786812097174,0.0,0.10634605850272683,0.0,0.0,0.00024789291026276647,0.0017352503718393653
