,PDID,root,tip,OPC-NPC-like,AC-gliosis-hypoxia
0,PD60967a_lo0003,0.14338737755798237,0.0014425911041142817,0.23801525456944542,0.43018865564627967
1,PD60967a_lo0004,0.08316352029273534,0.0023192870185887887,0.2669487716195623,0.3917523405376143
2,PD60967a_lo0005,0.06547672398007533,0.0008342159208899396,0.25229509406591816,0.43549730614609355
3,PD60967a_lo0009,0.15798678492665744,0.007492288760346869,0.12032681604410542,0.7069887138186939
4,PD60967a_lo0013,0.0,0.3717913564025214,0.015429612416108652,0.9469428885883288
5,PD60967a_lo0014,0.026240299145232404,0.37895328442676646,0.06620117658717978,0.8219516208510778
6,PD60967a_lo0015,0.040093680429125846,0.253066598680113,0.18103961456795642,0.5548412192670072
7,PD60967a_lo0019,0.072400385062934,0.01586331901545349,0.13644115267957455,0.675802183947333
8,PD60967a_lo0020,0.07781348567463539,0.04932609352554406,0.14192666666096707,0.6537407753092888
9,PD60967a_lo0022,0.08671154038314088,0.08700524298708213,0.2304648263615422,0.5119576085558128
10,PD60967a_lo0023,0.21518334296124644,0.01853912346869827,0.22539207997444047,0.5043918939632404
11,PD60967a_lo0025,0.020224650124975988,0.7020288261554282,0.0008491127931698826,0.997080648020706
12,PD60967a_lo0026,0.0369325457931322,0.6899687654831679,0.020323056008970393,0.9248540519971251
13,PD60967a_lo0027,0.07059350687232324,0.6772737932197396,0.026259240256074817,0.9175004399337962
14,PD60967a_lo0028,0.056611539257336085,0.6851518763992996,0.009950765168110793,0.9736034506015226
15,PD60967a_lo0030,0.0014288449003649892,0.7009930729829423,0.0001925742337021032,0.9990248871881741
16,PD60967a_lo0031,0.0,0.7677766860535545,6.78291261817901e-05,0.9996946815161072
17,PD60967a_lo0033,0.023436992514221378,0.7263827704380204,0.001835893519979322,0.9937945019011364
19,PD60967a_lo0035,0.11802427716299024,0.6081308135889489,0.015288253442721845,0.9419963363634694
20,PD60967a_lo0036,0.0295393241208559,0.6660495906306848,0.009758554378872082,0.9415711464188878
21,PD60967a_lo0037,0.059932901054088994,0.6052334013165372,0.0012160485701950962,0.9964736840136298
22,PD60967a_lo0039,0.016763086413841277,0.754033571566653,0.014582194447567618,0.9607751801485445
23,PD60967a_lo0040,0.026135679008825963,0.40123019632931084,0.00046394246681542183,0.9986451555784341
24,PD60967c_lo0002,0.1565372714397906,0.0,0.05186839488207456,0.8399065160131209
25,PD60967c_lo0005,0.12033221360729171,0.0004467274700293403,0.053734845565809305,0.834784097961129
26,PD60967c_lo0006,0.12564937484317942,0.00048531894642509703,0.0872386447260674,0.7584740623253367
27,PD60967c_lo0007,0.10786625717131881,0.0,0.016183740113920805,0.9399813599212499
28,PD60967c_lo0012,0.1451137504621478,0.0,0.06924462925281769,0.8005477542961699
29,PD60967c_lo0014,0.19987227448544692,0.0007335748159913687,0.145221973253455,0.30456473864007555
30,PD60967c_lo0015,0.20130049040975642,0.0009306646216995417,0.10165195926477061,0.6105627322461544
31,PD60967c_lo0021,0.10115851381887032,0.01072225490893606,0.19662652374235062,0.5554167579004
32,PD60967c_lo0023,0.2359377634635246,0.006355427856068542,0.12132283467389303,0.6538058601351773
33,PD60967c_lo0027,0.1445788714084105,0.0027797074528879916,0.13372739879913062,0.6443663507327931
34,PD60967c_lo0030,0.13800330844167294,0.005887447064198985,0.10141323953516289,0.7332002214456728
