clone,AC-gliosis-hypoxia,Neuron-like,OPC-NPC-like,Proliferative
AT10_0,0.08934456243134382,0.7649212742585134,0.11424386671548883,0.03149029659465397
AT10_1,0.5875134223040344,0.06258628624022089,0.31415861328424605,0.035741678171498696
AT10_2,0.23474264705882353,0.057352941176470586,0.6681985294117647,0.039705882352941174
AT10_3,0.12962962962962962,0.13247863247863248,0.6837606837606838,0.05413105413105413
AT10_4,0.1809421841541756,0.05460385438972163,0.645610278372591,0.11884368308351177
