,0,1,2,3,4,5,6,7,8,9,10,11,12,13
PD60967a_lo0014,0.026240299145232404,0.07464441531729178,0.0364797051960931,1.5612511283791264e-17,0.37895328442676646,0.027415535313548393,0.2834467352309648,0.0,0.0,0.11287341658219163,0.004744958619800925,0.0008103736043001994,0.04256490717593597,0.011826369387874276
PD60967a_lo0015,0.040093680429125846,0.042875416027546714,0.07259524733657426,2.428612866367529e-17,0.253066598680113,0.04283278043943204,0.361998665655382,1.110223024625156e-16,0.0,0.14841262660672877,0.005671082738639563,0.0018242632757544653,1.110223024625156e-16,0.03062963881070292
PD60967a_lo0013,0.0,0.04318380148243436,0.05018594475857393,1.8214596497756474e-17,0.3717913564025214,0.013346148379951836,0.39977769887509246,1.1102230246251565e-16,0.0015214895572446736,0.07795117062006657,5e-324,0.0022996819445576986,0.038475748942619514,0.0014669590369374612
PD60967a_lo0034,0.2869485413709977,0.0771526819863763,0.0360361000973866,5e-324,0.4218573572371629,0.0,0.17747640508051218,0.0,0.0005289142275642731,0.0,5e-324,0.0,0.0,5e-324
PD60967a_lo0040,0.026135679008825963,0.07214527729449205,0.03556612209783408,4.163336342344337e-17,0.40123019632931084,0.008444206405071012,0.28754023665965883,1.1102230246251565e-16,0.0,0.0,0.012269933158224205,0.0,0.05714354940651367,0.09952479964006918
PD60967c_lo0005,0.12033221360729171,0.13715360645347102,0.010416671837056014,2.6183482465524926e-17,0.0004467274700293403,0.0,0.00046981474978637723,0.0,0.4265010109573809,0.2343087148918036,0.03458805825066021,0.0,0.03537296893894847,0.0004102128435723701
PD60967c_lo0002,0.1565372714397906,0.1310657994487737,0.015075368346140287,5.637851296924624e-18,0.0,0.05577604467736664,0.0009744209995256833,0.013002132247019961,0.33907257948736963,0.1764672494663128,0.017601745370947705,0.08151115944407906,0.012521213362033936,0.0003950157106401621
PD60967c_lo0015,0.20130049040975642,0.0913066597635899,0.007331987259852877,2.927345865710861e-17,0.0009306646216995417,0.029602191447118717,0.00048250887828366653,0.021289526837556683,0.2720195461482813,0.12666673597273653,0.0964108233495701,0.1439336790853381,0.00832380927767062,0.0004013769485453913
PD60967c_lo0006,0.12564937484317942,0.1454241208804862,0.010113776529063387,2.0057740190981836e-18,0.00048531894642509703,0.0,5e-324,0.0,0.3788281326511208,0.3076666820827594,0.0240437341593658,0.0,0.007356955415695033,0.00043190449190499774
PD60967c_lo0021,0.10115851381887032,0.07452580555980462,0.004120877268073156,5e-324,0.01072225490893606,0.6363034057333528,0.004180603029831963,0.03278522620153324,0.002300171043339697,0.0,0.11490133854999554,0.0023294566260776022,0.016672347260185186,5e-324
PD60967c_lo0027,0.1445788714084105,0.05668203147808297,0.0011883564934311772,5e-324,0.0027797074528879916,0.4831917993088347,0.0007639416106058542,0.0,0.0005028918962249731,0.1474689142421838,0.11572714406838716,0.0,0.04711634204095082,5e-324
PD60967c_lo0023,0.2359377634635246,0.06357821073307451,0.006799831953284559,3.52365706057789e-18,0.006355427856068542,0.375690094216967,0.012807395310243058,1.1102230246251568e-16,0.0010118055309446337,0.1895213346865897,0.10561153074613441,0.0,0.002277545260428782,0.000409060242740126
PD60967c_lo0030,0.13800330844167294,0.020834022461294784,0.005577927563301242,2.6346112791397752e-17,0.005887447064198985,0.5608918269379667,0.000728730318452787,0.05311499484117553,0.0038797291141181383,0.05636496975137571,0.12872036468382334,0.0,0.025064356465950392,0.0009323223566693168
PD60967a_lo0022,0.08671154038314088,0.06450822349384255,0.046204549296484855,2.7755575615628914e-17,0.08700524298708213,0.016100672019600255,0.45191286687832,0.0,0.00039416612110816803,0.15107031291936654,5e-324,0.0,1.1102230246251565e-16,0.09609242590105452
PD60967a_lo0019,0.072400385062934,0.04587959608202216,0.04054501551326888,0.05200670672729607,0.01586331901545349,0.05705224772741885,0.3560556000854371,0.0,5e-324,0.09474914517984373,0.008554321353688684,5e-324,0.00675239656772475,0.25014126668491227
PD60967a_lo0009,0.15798678492665744,0.08893974702919526,0.01285933360896019,0.0,0.007492288760346869,0.029973106320397864,0.34135371830661737,0.0,0.0018399251825784075,0.0370536116987465,0.018148930920868132,0.0019135926927895395,0.027996357753517505,0.27444260279932503
PD60967a_lo0020,0.07781348567463539,0.04583477847928224,0.04549511749193873,0.011082153298300155,0.04932609352554406,0.033717789814919887,0.4387076225782126,5.55111512312578e-17,0.0007132671720646716,0.21104454731558575,0.0022779121224226805,0.002154110214657847,1.110223024625156e-16,0.08183312231243589
PD60967a_lo0023,0.21518334296124644,0.041124514224724205,0.009422857621848602,0.0,0.01853912346869827,0.014261718614790203,0.33012716959483845,0.0,0.0009896057831890255,0.08104632295977801,0.06589801206215845,0.0022414130683528067,0.03122841757019124,0.18993750207018437
PD60967a_lo0003,0.14338737755798237,0.057724754383064306,0.05548702440729363,0.0,0.0014425911041142817,0.018774306520806288,0.17416877152974516,1.1102230246251565e-16,5e-324,0.0,0.010152273411907674,5e-324,0.0,0.5388629010850863
PD60967a_lo0004,0.08316352029273534,0.118995743545085,0.0026315774066556,0.0,0.0023192870185887887,0.024096330334923005,0.15627997332532217,0.0,0.0,0.002609752064833861,0.0034542257730148795,0.0,0.0,0.6064495902388414
PD60967a_lo0005,0.06547672398007533,0.04123404975078493,0.04836188689041944,0.0,0.0008342159208899396,0.009054302107379977,0.2282195624175077,0.0,0.0,0.0,0.0,0.0,0.02271207087173655,0.5841071880612062
PD60967a_lo0025,0.020224650124975988,0.08671183637195282,0.02088453556288991,0.0,0.7020288261554282,0.002913231994140245,0.15456827658147956,0.0,0.0,0.0,0.003246751564425335,0.0,0.009421891644707971,0.0
PD60967a_lo0030,0.0014288449003649892,0.0960167945892077,0.037075236527776896,0.0,0.7009930729829423,0.012478885086805776,0.1190621189473659,1.1102230246251563e-16,0.0,1.1102230246251563e-16,0.010327048533704265,0.001162792100138396,0.021455206331693507,0.0
PD60967a_lo0026,0.0369325457931322,0.08156933668673749,0.06715327950457103,1.9081958235744875e-17,0.6899687654831679,0.0,0.11820946480798936,0.0,0.0,0.0,0.0,0.0010043961152394676,0.004469487774332536,0.000692723834830081
PD60967a_lo0039,0.016763086413841277,0.10724036185201544,0.022177425313771756,4.7271214720367993e-17,0.754033571566653,0.007927897870198994,0.0856438632816803,0.0,0.0,0.0,0.0,0.0,0.00568701530923954,0.0005267783925997833
PD60967a_lo0037,0.059932901054088994,0.05010036507038303,0.07766989031888359,0.0,0.6052334013165372,0.0028368341700725566,0.19186266238367167,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.01236394568636301,0.0
PD60967a_lo0036,0.0295393241208559,0.0833129593245326,0.016296304754369252,2.0925101928970226e-17,0.6660495906306848,0.004245439374051771,0.1529744510762565,0.0,0.0005717560066056906,1.110223024625156e-16,0.0035906738018457026,0.0,0.042716439192725476,0.0007030617180721272
PD60967a_lo0035,0.11802427716299024,0.09942456812014179,0.02333842174609166,0.0,0.6081308135889489,0.0068050922862224516,0.1434284710120148,0.0,0.0008483560835900317,0.0,0.0,0.0,0.0,0.0
PD60967a_lo0031,0.0,0.07064415498229037,0.04368926307946406,5e-324,0.7677766860535545,0.020472940204791675,0.0881861819698906,1.1102230246251565e-16,0.0,0.0,0.00923077371000875,5e-324,0.0,5e-324
PD60967a_lo0028,0.056611539257336085,0.0673440224257303,0.07001913805557626,5.421010862427522e-17,0.6851518763992996,0.0,0.11960394495885283,0.0,0.0,0.0,0.0,0.0,0.0,0.001269478903204889
PD60967a_lo0027,0.07059350687232324,0.07318556410616492,0.04641345269348952,2.211772431870429e-17,0.6772737932197396,0.0,0.12942893386368162,0.0,0.0,0.0,0.0,0.0009095050741805934,0.0,0.002195244170420474
PD60967a_lo0033,0.023436992514221378,0.06866719666889494,0.03253185722343499,1.4203048459560108e-17,0.7263827704380204,0.0,0.13738036426947128,0.0,0.00045958260303482785,0.0,0.010526314513953928,0.0,0.0,0.0006149217689682542
PD60967c_lo0012,0.1451137504621478,0.1465086589930279,0.017840387648470762,3.220080452281948e-17,0.0,0.0,0.001634878133751488,0.0,0.1392893294633103,0.0,0.03504666222724637,0.5126665057204456,0.001456411076147912,0.00044341627545189
PD60967c_lo0014,0.19987227448544692,0.07499136802502844,0.011235982794166573,5.5294310796760714e-17,0.0007335748159913687,0.0,0.0,0.06098528715286532,0.16337137381102187,0.0,0.07179530609587241,0.40605241995695335,0.009600146602422475,0.0013622662602311149
PD60967c_lo0007,0.10786625717131881,0.17929762877705388,0.020010535299666024,5.2475385148298415e-17,0.0,0.0,0.0,0.0,0.15445016100289302,0.0,0.01704545863645504,0.5202870731701109,0.0,0.0010428859425022949
