,predictions,feature,mean,proportion
0,AC-gliosis-like,AQP4,0.8027908,0.470960929250264
1,AC-progenitor-like,AQP4,1.0,0.5794888815134418
2,Gliosis-like,AQP4,0.5848682,0.43973941368078173
3,Hypoxic,AQP4,0.11918813,0.18357980622131564
4,NPC-neuronal-like,AQP4,0.13548785,0.17510259917920656
5,OPC-NPC-like,AQP4,0.11752635,0.1823671497584541
6,OPC-like,AQP4,0.113525935,0.15000230808290635
7,OPC-neuronal-like,AQP4,0.0,0.046715280942769714
8,Proliferative,AQP4,0.08668701,0.1456038827702072
9,AC-gliosis-like,CENPF,0.060718928,0.133051742344245
10,AC-progenitor-like,CENPF,0.03874549,0.11118486558247594
11,Gliosis-like,CENPF,0.0,0.07166123778501629
12,Hypoxic,CENPF,0.008312873,0.07547169811320754
13,NPC-neuronal-like,CENPF,0.064050525,0.13679890560875513
14,OPC-NPC-like,CENPF,0.084888995,0.15982286634460546
15,OPC-like,CENPF,0.15596774,0.19810275585099016
16,OPC-neuronal-like,CENPF,0.11608267,0.16563578357966013
17,Proliferative,CENPF,1.0,0.56972185924958
18,AC-gliosis-like,DCX,0.08860266,0.27243928194297784
19,AC-progenitor-like,DCX,0.11524256,0.2960504480584135
20,Gliosis-like,DCX,0.0,0.15309446254071662
21,Hypoxic,DCX,0.03942849,0.20958694543600204
22,NPC-neuronal-like,DCX,1.0,0.7824897400820794
23,OPC-NPC-like,DCX,0.5628824,0.6223832528180354
24,OPC-like,DCX,0.27365032,0.43248857498961363
25,OPC-neuronal-like,DCX,0.23124184,0.4056253662347809
26,Proliferative,DCX,0.18586096,0.36960985626283366
27,AC-gliosis-like,DLL3,0.030048132,0.44667370644139387
28,AC-progenitor-like,DLL3,0.011667171,0.404248257550614
29,Gliosis-like,DLL3,0.0,0.38436482084690554
30,Hypoxic,DLL3,0.072833076,0.4992350841407445
31,NPC-neuronal-like,DLL3,0.32476348,0.7004103967168263
32,OPC-NPC-like,DLL3,1.0,0.8917069243156199
33,OPC-like,DLL3,0.31814322,0.7368093061902784
34,OPC-neuronal-like,DLL3,0.10782634,0.5541701933719643
35,Proliferative,DLL3,0.22283049,0.6483106216165765
36,AC-gliosis-like,DSCAM,0.043047663,0.012671594508975714
37,AC-progenitor-like,DSCAM,0.019425875,0.009293063391968137
38,Gliosis-like,DSCAM,0.0,0.006514657980456026
39,Hypoxic,DSCAM,0.061413005,0.014278429372768995
40,NPC-neuronal-like,DSCAM,0.15530817,0.028727770177838577
41,OPC-NPC-like,DSCAM,0.466728,0.05394524959742351
42,OPC-like,DSCAM,1.0,0.08895351521026636
43,OPC-neuronal-like,DSCAM,0.1408641,0.021778761638127482
44,Proliferative,DSCAM,0.18024367,0.027627403397423932
45,AC-gliosis-like,GFAP,0.77541536,0.955649419218585
46,AC-progenitor-like,GFAP,1.0,0.9863923000331896
47,Gliosis-like,GFAP,0.39830765,0.9218241042345277
48,Hypoxic,GFAP,0.09516191,0.7098419173890872
49,NPC-neuronal-like,GFAP,0.23232752,0.774281805745554
50,OPC-NPC-like,GFAP,0.38698256,0.9166666666666666
51,OPC-like,GFAP,0.22837624,0.7112819092461802
52,OPC-neuronal-like,GFAP,0.0,0.40214206654079043
53,Proliferative,GFAP,0.19582583,0.731939518387157
54,AC-gliosis-like,GRIA4,0.08638761,0.12249208025343189
55,AC-progenitor-like,GRIA4,0.0,0.07832724858944573
56,Gliosis-like,GRIA4,0.0072099897,0.09446254071661238
57,Hypoxic,GRIA4,0.021926127,0.0887302396736359
58,NPC-neuronal-like,GRIA4,0.9611174,0.3378932968536252
59,OPC-NPC-like,GRIA4,0.5994684,0.27616747181964574
60,OPC-like,GRIA4,0.9627969,0.36714674791118496
61,OPC-neuronal-like,GRIA4,1.0,0.3928966729604792
62,Proliferative,GRIA4,0.5481856,0.2667537801008027
63,AC-gliosis-like,GRIK2,0.083773024,0.06230200633579725
64,AC-progenitor-like,GRIK2,0.0,0.031861931629605045
65,Gliosis-like,GRIK2,0.08584874,0.06840390879478828
66,Hypoxic,GRIK2,0.055270422,0.05252422233554309
67,NPC-neuronal-like,GRIK2,1.0,0.30506155950752395
68,OPC-NPC-like,GRIK2,0.43390226,0.17592592592592593
69,OPC-like,GRIK2,0.77773577,0.2641600886303836
70,OPC-neuronal-like,GRIK2,0.68653244,0.24435184582329578
71,Proliferative,GRIK2,0.43025136,0.16931118163151018
72,AC-gliosis-like,HILPDA,0.020176573,0.26715945089757126
73,AC-progenitor-like,HILPDA,0.0033601604,0.23730501161632925
74,Gliosis-like,HILPDA,0.3101121,0.48859934853420195
75,Hypoxic,HILPDA,1.0,0.8184599694033656
76,NPC-neuronal-like,HILPDA,0.028149527,0.2968536251709986
77,OPC-NPC-like,HILPDA,0.032949444,0.3115942028985507
78,OPC-like,HILPDA,0.029156411,0.2800858606841158
79,OPC-neuronal-like,HILPDA,0.0,0.2106256917768084
80,Proliferative,HILPDA,0.03908813,0.31696845249206645
81,AC-gliosis-like,MKI67,0.036401324,0.05385427666314678
82,AC-progenitor-like,MKI67,0.035320967,0.054762694988383674
83,Gliosis-like,MKI67,0.0,0.035830618892508145
84,Hypoxic,MKI67,0.010626647,0.04028556858745538
85,NPC-neuronal-like,MKI67,0.06448052,0.06839945280437756
86,OPC-NPC-like,MKI67,0.095508546,0.08373590982286634
87,OPC-like,MKI67,0.1686803,0.11171121266675899
88,OPC-neuronal-like,MKI67,0.11587048,0.0876684679992187
89,Proliferative,MKI67,1.0,0.38827702072055253
90,AC-gliosis-like,MYT1L,0.0059655723,0.007391763463569166
91,AC-progenitor-like,MYT1L,0.002483371,0.004646531695984069
92,Gliosis-like,MYT1L,0.0,0.003257328990228013
93,Hypoxic,MYT1L,0.014430744,0.009688934217236104
94,NPC-neuronal-like,MYT1L,1.0,0.3967168262653899
95,OPC-NPC-like,MYT1L,0.07023317,0.03864734299516908
96,OPC-like,MYT1L,0.08521894,0.05165489544384434
97,OPC-neuronal-like,MYT1L,0.07228782,0.044403932547691906
98,Proliferative,MYT1L,0.026005719,0.01904050774687325
99,AC-gliosis-like,OLIG1,0.25461736,0.27983104540654696
100,AC-progenitor-like,OLIG1,0.15928347,0.21108529704613344
101,Gliosis-like,OLIG1,0.035827737,0.13029315960912052
102,Hypoxic,OLIG1,0.0,0.07700152983171851
103,NPC-neuronal-like,OLIG1,0.17952105,0.22298221614227087
104,OPC-NPC-like,OLIG1,1.0,0.5623993558776168
105,OPC-like,OLIG1,0.78026444,0.503646770992014
106,OPC-neuronal-like,OLIG1,0.3400857,0.32824402630379584
107,Proliferative,OLIG1,0.5242456,0.40433078215419077
108,AC-gliosis-like,PDGFRA,0.029883726,0.7550158394931362
109,AC-progenitor-like,PDGFRA,0.0,0.7338201128443412
110,Gliosis-like,PDGFRA,0.16642305,0.6905537459283387
111,Hypoxic,PDGFRA,0.028798096,0.7001529831718512
112,NPC-neuronal-like,PDGFRA,0.24474655,0.8495212038303693
113,OPC-NPC-like,PDGFRA,0.14750327,0.8176328502415459
114,OPC-like,PDGFRA,0.4688218,0.9371739832894798
115,OPC-neuronal-like,PDGFRA,1.0,0.9792629728497949
116,Proliferative,PDGFRA,0.50886476,0.8865036400970693
117,AC-gliosis-like,RYR3,0.818605,0.09503695881731784
118,AC-progenitor-like,RYR3,1.0,0.10288748755393295
119,Gliosis-like,RYR3,0.11812421,0.048859934853420196
120,Hypoxic,RYR3,0.17461762,0.04436511983681795
121,NPC-neuronal-like,RYR3,0.7206029,0.09302325581395349
122,OPC-NPC-like,RYR3,0.21467298,0.049516908212560384
123,OPC-like,RYR3,0.0,0.03102063426118266
124,OPC-neuronal-like,RYR3,0.79339826,0.07565596718536363
125,Proliferative,RYR3,0.23698077,0.04424117976479373
126,AC-gliosis-like,SERPINE1,1.0,0.3526927138331573
127,AC-progenitor-like,SERPINE1,0.10237076,0.1072021241287753
128,Gliosis-like,SERPINE1,0.64542836,0.2671009771986971
129,Hypoxic,SERPINE1,0.41253388,0.1942886282508924
130,NPC-neuronal-like,SERPINE1,0.007213275,0.04240766073871409
131,OPC-NPC-like,SERPINE1,0.0,0.055152979066022546
132,OPC-like,SERPINE1,0.0006647557,0.0522780778285556
133,OPC-neuronal-like,SERPINE1,0.01744388,0.06009505827202292
134,Proliferative,SERPINE1,0.01785348,0.053948105282807544
135,AC-gliosis-like,SLC1A3,0.9107189,0.382259767687434
136,AC-progenitor-like,SLC1A3,1.0,0.3949551941586459
137,Gliosis-like,SLC1A3,0.098759055,0.18241042345276873
138,Hypoxic,SLC1A3,0.0,0.12646608873023968
139,NPC-neuronal-like,SLC1A3,0.006975515,0.12585499316005472
140,OPC-NPC-like,SLC1A3,0.0631548,0.16586151368760063
141,OPC-like,SLC1A3,0.052265763,0.15577251534875133
142,OPC-neuronal-like,SLC1A3,0.07689553,0.16150139983071815
143,Proliferative,SLC1A3,0.22576481,0.2100056001493373
144,AC-gliosis-like,SOX11,0.018970689,0.47624076029567053
145,AC-progenitor-like,SOX11,0.0,0.44839030866246266
146,Gliosis-like,SOX11,0.024532918,0.4364820846905538
147,Hypoxic,SOX11,0.05827513,0.4502804691483937
148,NPC-neuronal-like,SOX11,1.0,0.8686730506155951
149,OPC-NPC-like,SOX11,0.47849238,0.7548309178743962
150,OPC-like,SOX11,0.2371273,0.6205050085399068
151,OPC-neuronal-like,SOX11,0.21549867,0.6074288690669966
152,Proliferative,SOX11,0.29613426,0.653910770953892
153,AC-gliosis-like,SOX6,0.31717074,0.29989440337909185
154,AC-progenitor-like,SOX6,0.22264653,0.26551609691337535
155,Gliosis-like,SOX6,0.07208305,0.18892508143322476
156,Hypoxic,SOX6,0.0,0.14227434982151962
157,NPC-neuronal-like,SOX6,0.29024372,0.2749658002735978
158,OPC-NPC-like,SOX6,0.6623618,0.4057971014492754
159,OPC-like,SOX6,1.0,0.4906984258874579
160,OPC-neuronal-like,SOX6,0.55184466,0.3780519565075851
161,Proliferative,SOX6,0.42445326,0.3341422437931678
162,AC-gliosis-like,STMN2,0.008898793,0.024287222808870117
163,AC-progenitor-like,STMN2,0.0019373642,0.017590441420511117
164,Gliosis-like,STMN2,0.020349933,0.03257328990228013
165,Hypoxic,STMN2,0.0,0.01580826109127996
166,NPC-neuronal-like,STMN2,1.0,0.4240766073871409
167,OPC-NPC-like,STMN2,0.040983837,0.039452495974235106
168,OPC-like,STMN2,0.04034081,0.039583621843696626
169,OPC-neuronal-like,STMN2,0.031075947,0.035484080994856435
170,Proliferative,STMN2,0.024607789,0.030427478066081762
171,AC-gliosis-like,VEGFA,0.069345295,0.3611404435058078
172,AC-progenitor-like,VEGFA,0.0036197952,0.2558911384002655
173,Gliosis-like,VEGFA,0.46473762,0.5863192182410424
174,Hypoxic,VEGFA,1.0,0.8408975012748597
175,NPC-neuronal-like,VEGFA,0.0032791498,0.25718194254445964
176,OPC-NPC-like,VEGFA,0.015188632,0.2693236714975845
177,OPC-like,VEGFA,0.03584476,0.2868485435996861
178,OPC-neuronal-like,VEGFA,0.0,0.23862230613972263
179,Proliferative,VEGFA,0.024719834,0.2865409744259847
180,AC-gliosis-like,VIM,0.5302582,0.5543822597676874
181,AC-progenitor-like,VIM,0.18907788,0.3919681380683704
182,Gliosis-like,VIM,0.2204664,0.41042345276872966
183,Hypoxic,VIM,0.0,0.3488016318204997
184,NPC-neuronal-like,VIM,0.04034112,0.27359781121751026
185,OPC-NPC-like,VIM,0.031613342,0.2725442834138486
186,OPC-like,VIM,0.4171994,0.39671328994137467
187,OPC-neuronal-like,VIM,1.0,0.4787421056058337
188,Proliferative,VIM,0.15512952,0.3410490946425238
