,predictions,feature,mean,proportion
54,AC-gliosis-like,GRIA4,0.51450264,0.30220395965633173
55,AC-progenitor-like,GRIA4,0.2740957,0.20972972972972972
56,Gliosis-like,GRIA4,0.16036913,0.15789473684210525
57,Hypoxic,GRIA4,0.0,0.10218978102189781
58,NPC-neuronal-like,GRIA4,0.9037848,0.41514041514041516
59,OPC-NPC-like,GRIA4,1.0,0.42539512456469325
60,OPC-like,GRIA4,0.2884752,0.1921182266009852
61,OPC-neuronal-like,GRIA4,0.38946015,0.3333333333333333
62,Proliferative,GRIA4,0.563763,0.2857142857142857
63,AC-gliosis-like,GRIK2,0.29025027,0.1576391483003362
64,AC-progenitor-like,GRIK2,0.17027026,0.09837837837837837
65,Gliosis-like,GRIK2,0.2855263,0.17105263157894737
66,Hypoxic,GRIK2,0.13284671,0.08029197080291971
67,NPC-neuronal-like,GRIK2,1.0,0.4053724053724054
68,OPC-NPC-like,GRIK2,0.907581,0.4031609965175462
69,OPC-like,GRIK2,0.2413793,0.13054187192118227
70,OPC-neuronal-like,GRIK2,0.0,0.0
71,Proliferative,GRIK2,0.32643676,0.1724137931034483
72,AC-gliosis-like,HILPDA,0.018404499,0.20470676129996265
73,AC-progenitor-like,HILPDA,0.009401495,0.18486486486486486
74,Gliosis-like,HILPDA,0.1724805,0.3815789473684211
75,Hypoxic,HILPDA,1.0,0.7737226277372263
76,NPC-neuronal-like,HILPDA,0.036188085,0.27350427350427353
77,OPC-NPC-like,HILPDA,0.036939513,0.2780605411197428
78,OPC-like,HILPDA,0.019057196,0.16748768472906403
79,OPC-neuronal-like,HILPDA,0.0,0.16666666666666666
80,Proliferative,HILPDA,0.044571795,0.2791461412151067
81,AC-gliosis-like,MKI67,0.026259167,0.029137093761673515
82,AC-progenitor-like,MKI67,0.016112262,0.027567567567567567
83,Gliosis-like,MKI67,0.0,0.019736842105263157
84,Hypoxic,MKI67,0.0044463426,0.021897810218978103
85,NPC-neuronal-like,MKI67,0.06239417,0.045177045177045176
86,OPC-NPC-like,MKI67,0.11041447,0.057862309134744175
87,OPC-like,MKI67,0.0759519,0.046798029556650245
88,OPC-neuronal-like,MKI67,0.30231833,0.16666666666666666
89,Proliferative,MKI67,1.0,0.3251231527093596
90,AC-gliosis-like,MYT1L,0.024153115,0.0011206574523720584
91,AC-progenitor-like,MYT1L,0.023300143,0.001081081081081081
92,Gliosis-like,MYT1L,0.0,0.0
93,Hypoxic,MYT1L,0.0,0.0
94,NPC-neuronal-like,MYT1L,1.0,0.029304029304029304
95,OPC-NPC-like,MYT1L,0.03464125,0.0016072863648540047
96,OPC-like,MYT1L,0.106170595,0.0049261083743842365
97,OPC-neuronal-like,MYT1L,0.0,0.0
98,Proliferative,MYT1L,0.0353902,0.0016420361247947454
99,AC-gliosis-like,OLIG1,0.19748299,0.09637654090399701
100,AC-progenitor-like,OLIG1,0.1471336,0.07513513513513513
101,Gliosis-like,OLIG1,0.0,0.03289473684210526
102,Hypoxic,OLIG1,0.05459031,0.058394160583941604
103,NPC-neuronal-like,OLIG1,0.123011574,0.07814407814407814
104,OPC-NPC-like,OLIG1,0.36371082,0.14331636753281543
105,OPC-like,OLIG1,0.40942207,0.13054187192118227
106,OPC-neuronal-like,OLIG1,1.0,0.3333333333333333
107,Proliferative,OLIG1,0.3232961,0.13793103448275862
108,AC-gliosis-like,PDGFRA,0.26383707,0.03997011580127008
109,AC-progenitor-like,PDGFRA,0.35676858,0.047027027027027025
110,Gliosis-like,PDGFRA,0.0,0.006578947368421052
111,Hypoxic,PDGFRA,0.093766876,0.021897810218978103
112,NPC-neuronal-like,PDGFRA,0.24373302,0.03785103785103785
113,OPC-NPC-like,PDGFRA,0.45819968,0.06295204929011519
114,OPC-like,PDGFRA,1.0,0.10591133004926108
115,OPC-neuronal-like,PDGFRA,0.9798982,0.16666666666666666
116,Proliferative,PDGFRA,0.9949745,0.10673234811165845
117,AC-gliosis-like,RYR3,0.4564631,0.32909973851326113
118,AC-progenitor-like,RYR3,0.13986859,0.20270270270270271
119,Gliosis-like,RYR3,0.0,0.09868421052631579
120,Hypoxic,RYR3,0.07676615,0.145985401459854
121,NPC-neuronal-like,RYR3,1.0,0.47741147741147744
122,OPC-NPC-like,RYR3,0.5610668,0.3645861237610501
123,OPC-like,RYR3,0.16992271,0.19950738916256158
124,OPC-neuronal-like,RYR3,0.63939595,0.16666666666666666
125,Proliferative,RYR3,0.15444556,0.19047619047619047
126,AC-gliosis-like,SERPINE1,0.71047765,0.10646245797534554
127,AC-progenitor-like,SERPINE1,0.59198886,0.0627027027027027
128,Gliosis-like,SERPINE1,1.0,0.17763157894736842
129,Hypoxic,SERPINE1,0.68276244,0.12408759124087591
130,NPC-neuronal-like,SERPINE1,0.32359663,0.06471306471306472
131,OPC-NPC-like,SERPINE1,0.28084925,0.06375569247254219
132,OPC-like,SERPINE1,0.5087786,0.09113300492610837
133,OPC-neuronal-like,SERPINE1,0.0,0.0
134,Proliferative,SERPINE1,0.63357335,0.11001642036124795
135,AC-gliosis-like,SLC1A3,1.0,0.30706014194994397
136,AC-progenitor-like,SLC1A3,0.8919823,0.27675675675675676
137,Gliosis-like,SLC1A3,0.6840044,0.2236842105263158
138,Hypoxic,SLC1A3,0.0,0.0948905109489051
139,NPC-neuronal-like,SLC1A3,0.005055608,0.10134310134310134
140,OPC-NPC-like,SLC1A3,0.14801377,0.1347441735869274
141,OPC-like,SLC1A3,0.27289099,0.14532019704433496
142,OPC-neuronal-like,SLC1A3,0.17821036,0.16666666666666666
143,Proliferative,SLC1A3,0.2780089,0.16091954022988506
144,AC-gliosis-like,SOX11,0.122001834,0.40791931266342923
145,AC-progenitor-like,SOX11,0.07601062,0.35945945945945945
146,Gliosis-like,SOX11,0.051047992,0.29605263157894735
147,Hypoxic,SOX11,0.0,0.21897810218978103
148,NPC-neuronal-like,SOX11,1.0,0.8156288156288156
149,OPC-NPC-like,SOX11,0.41604868,0.6327350656308599
150,OPC-like,SOX11,0.2514248,0.4605911330049261
151,OPC-neuronal-like,SOX11,0.32079402,0.5
152,Proliferative,SOX11,0.38435555,0.5911330049261084
153,AC-gliosis-like,SOX6,0.6823217,0.21815465072842735
154,AC-progenitor-like,SOX6,0.48510593,0.19405405405405404
155,Gliosis-like,SOX6,0.1213555,0.1513157894736842
156,Hypoxic,SOX6,0.3262091,0.1897810218978102
157,NPC-neuronal-like,SOX6,0.0,0.14163614163614163
158,OPC-NPC-like,SOX6,0.7421981,0.2301098312349317
159,OPC-like,SOX6,0.45819888,0.1896551724137931
160,OPC-neuronal-like,SOX6,1.0,0.3333333333333333
161,Proliferative,SOX6,0.40982378,0.18883415435139572
162,AC-gliosis-like,STMN2,0.044204183,0.01307433694434068
163,AC-progenitor-like,STMN2,0.057231527,0.017297297297297298
164,Gliosis-like,STMN2,0.020487292,0.006578947368421052
165,Hypoxic,STMN2,0.0,0.0
166,NPC-neuronal-like,STMN2,1.0,0.2026862026862027
167,OPC-NPC-like,STMN2,0.070907,0.020626841682293062
168,OPC-like,STMN2,0.107381664,0.024630541871921183
169,OPC-neuronal-like,STMN2,0.0,0.0
170,Proliferative,STMN2,0.051134124,0.016420361247947456
171,AC-gliosis-like,VEGFA,0.124378785,0.22338438550616363
172,AC-progenitor-like,VEGFA,0.0874119,0.17567567567567569
173,Gliosis-like,VEGFA,0.2766697,0.3026315789473684
174,Hypoxic,VEGFA,1.0,0.6934306569343066
175,NPC-neuronal-like,VEGFA,0.09316703,0.18192918192918192
176,OPC-NPC-like,VEGFA,0.114744656,0.20600053576212163
177,OPC-like,VEGFA,0.13454823,0.22660098522167488
178,OPC-neuronal-like,VEGFA,0.0,0.0
179,Proliferative,VEGFA,0.13454823,0.23316912972085385
180,AC-gliosis-like,VIM,0.35359344,0.5356742622338438
181,AC-progenitor-like,VIM,0.4092189,0.514054054054054
182,Gliosis-like,VIM,0.6611838,0.5986842105263158
183,Hypoxic,VIM,1.0,0.6423357664233577
184,NPC-neuronal-like,VIM,0.0072684246,0.2967032967032967
185,OPC-NPC-like,VIM,0.0,0.2949370479507099
186,OPC-like,VIM,0.07546209,0.3472906403940887
187,OPC-neuronal-like,VIM,0.036920816,0.5
188,Proliferative,VIM,0.036509708,0.3891625615763547
