,predictions,feature,mean,proportion
0,AC-gliosis-like,AQP4,0.42369688,0.268957788569294
1,AC-progenitor-like,AQP4,1.0,0.41621621621621624
2,Gliosis-like,AQP4,0.45885214,0.3026315789473684
3,Hypoxic,AQP4,0.22272749,0.1678832116788321
4,NPC-neuronal-like,AQP4,0.4172809,0.29181929181929184
5,OPC-NPC-like,AQP4,0.45027244,0.3005625502276989
6,OPC-like,AQP4,0.667822,0.29802955665024633
7,OPC-neuronal-like,AQP4,0.0,0.0
8,Proliferative,AQP4,0.294901,0.22167487684729065
9,AC-gliosis-like,CENPF,0.049978103,0.08741128128502054
10,AC-progenitor-like,CENPF,0.031933706,0.07297297297297298
11,Gliosis-like,CENPF,0.0,0.05263157894736842
12,Hypoxic,CENPF,0.0053501427,0.043795620437956206
13,NPC-neuronal-like,CENPF,0.09056964,0.10989010989010989
14,OPC-NPC-like,CENPF,0.12722087,0.1358156978301634
15,OPC-like,CENPF,0.12950334,0.14039408866995073
16,OPC-neuronal-like,CENPF,0.1058734,0.16666666666666666
17,Proliferative,CENPF,1.0,0.4860426929392447
18,AC-gliosis-like,DCX,0.0,0.08292865147553231
19,AC-progenitor-like,DCX,0.015846409,0.09567567567567567
20,Gliosis-like,DCX,0.025913704,0.11842105263157894
21,Hypoxic,DCX,0.060587347,0.11678832116788321
22,NPC-neuronal-like,DCX,1.0,0.45787545787545786
23,OPC-NPC-like,DCX,0.15006498,0.18778462362710957
24,OPC-like,DCX,0.2150759,0.2438423645320197
25,OPC-neuronal-like,DCX,0.45141694,0.3333333333333333
26,Proliferative,DCX,0.1275905,0.18555008210180624
27,AC-gliosis-like,DLL3,0.17955376,0.33806499813223756
28,AC-progenitor-like,DLL3,0.14436656,0.29027027027027025
29,Gliosis-like,DLL3,0.076223195,0.1513157894736842
30,Hypoxic,DLL3,0.1290498,0.24087591240875914
31,NPC-neuronal-like,DLL3,0.5756862,0.5567765567765568
32,OPC-NPC-like,DLL3,1.0,0.7358692740423252
33,OPC-like,DLL3,0.42508656,0.41625615763546797
34,OPC-neuronal-like,DLL3,0.0,0.16666666666666666
35,Proliferative,DLL3,0.50217295,0.5123152709359606
36,AC-gliosis-like,DSCAM,0.59498286,0.01270078446021666
37,AC-progenitor-like,DSCAM,0.6330561,0.013513513513513514
38,Gliosis-like,DSCAM,0.30819836,0.006578947368421052
39,Hypoxic,DSCAM,0.0,0.0
40,NPC-neuronal-like,DSCAM,0.6863905,0.014652014652014652
41,OPC-NPC-like,DSCAM,0.6274598,0.01339405304045004
42,OPC-like,DSCAM,0.23076922,0.0049261083743842365
43,OPC-neuronal-like,DSCAM,0.0,0.0
44,Proliferative,DSCAM,1.0,0.021346469622331693
45,AC-gliosis-like,GFAP,0.8511131,0.9491968621591333
46,AC-progenitor-like,GFAP,1.0,0.985945945945946
47,Gliosis-like,GFAP,0.61804247,0.9736842105263158
48,Hypoxic,GFAP,0.098022334,0.7664233576642335
49,NPC-neuronal-like,GFAP,0.60695803,0.927960927960928
50,OPC-NPC-like,GFAP,0.95324856,0.9740155371015269
51,OPC-like,GFAP,0.5559954,0.9605911330049262
52,OPC-neuronal-like,GFAP,0.0,0.8333333333333334
53,Proliferative,GFAP,0.34797877,0.9064039408866995
