,sample_ID,time,group_merged,proportion
0,E30 GSO1 Day 14,Day 14,AC-gliosis-like,0.3019230769230769
1,E30 GSO1 Day 14,Day 14,AC-progenitor-like,0.23076923076923078
2,E30 GSO1 Day 14,Day 14,Gliosis-like,0.038461538461538464
3,E30 GSO1 Day 14,Day 14,Hypoxic,0.009615384615384616
4,E30 GSO1 Day 14,Day 14,NPC-OPC-like (all),0.30576923076923074
5,E30 GSO1 Day 14,Day 14,NPC-neuronal-like,0.08269230769230769
6,E30 GSO1 Day 14,Day 14,Proliferative,0.03076923076923077
7,E30 GSO1 Day 7,Day 7,AC-gliosis-like,0.1342685370741483
8,E30 GSO1 Day 7,Day 7,AC-progenitor-like,0.12344689378757515
9,E30 GSO1 Day 7,Day 7,Gliosis-like,0.009218436873747494
10,E30 GSO1 Day 7,Day 7,Hypoxic,0.016432865731462926
11,E30 GSO1 Day 7,Day 7,NPC-OPC-like (all),0.5687374749498998
12,E30 GSO1 Day 7,Day 7,NPC-neuronal-like,0.09338677354709418
13,E30 GSO1 Day 7,Day 7,Proliferative,0.054509018036072145
14,E30 GSO2 Day 14,Day 14,AC-gliosis-like,0.34547908232118757
15,E30 GSO2 Day 14,Day 14,AC-progenitor-like,0.16059379217273953
16,E30 GSO2 Day 14,Day 14,Gliosis-like,0.02834008097165992
17,E30 GSO2 Day 14,Day 14,Hypoxic,0.001349527665317139
18,E30 GSO2 Day 14,Day 14,NPC-OPC-like (all),0.2901484480431849
19,E30 GSO2 Day 14,Day 14,NPC-neuronal-like,0.145748987854251
20,E30 GSO2 Day 14,Day 14,Proliferative,0.02834008097165992
21,E30 GSO2 Day 7,Day 7,AC-gliosis-like,0.15832363213038417
22,E30 GSO2 Day 7,Day 7,AC-progenitor-like,0.24835079549864184
23,E30 GSO2 Day 7,Day 7,Gliosis-like,0.002328288707799767
24,E30 GSO2 Day 7,Day 7,Hypoxic,0.0007760962359332557
25,E30 GSO2 Day 7,Day 7,NPC-OPC-like (all),0.4447031431897555
26,E30 GSO2 Day 7,Day 7,NPC-neuronal-like,0.059371362048894066
27,E30 GSO2 Day 7,Day 7,Proliferative,0.08614668218859138
28,E30 GSO3 Day 14,Day 14,AC-gliosis-like,0.23582089552238805
29,E30 GSO3 Day 14,Day 14,AC-progenitor-like,0.22587064676616916
30,E30 GSO3 Day 14,Day 14,Gliosis-like,0.01890547263681592
31,E30 GSO3 Day 14,Day 14,Hypoxic,0.0029850746268656717
32,E30 GSO3 Day 14,Day 14,NPC-OPC-like (all),0.37213930348258706
33,E30 GSO3 Day 14,Day 14,NPC-neuronal-like,0.1054726368159204
34,E30 GSO3 Day 14,Day 14,Proliferative,0.03880597014925373
35,E30 GSO3 Day 28,Day 28,AC-gliosis-like,0.18095238095238095
36,E30 GSO3 Day 28,Day 28,AC-progenitor-like,0.11904761904761904
37,E30 GSO3 Day 28,Day 28,Gliosis-like,0.18571428571428572
38,E30 GSO3 Day 28,Day 28,Hypoxic,0.36666666666666664
39,E30 GSO3 Day 28,Day 28,NPC-OPC-like (all),0.12380952380952381
40,E30 GSO3 Day 28,Day 28,NPC-neuronal-like,0.004761904761904762
41,E30 GSO3 Day 28,Day 28,Proliferative,0.01904761904761905
42,E30 baseline Day 0,Day 0,AC-gliosis-like,0.40465355885635784
43,E30 baseline Day 0,Day 0,AC-progenitor-like,0.06980338284536791
44,E30 baseline Day 0,Day 0,Gliosis-like,0.005151541169399846
45,E30 baseline Day 0,Day 0,Hypoxic,0.0018888984287799434
46,E30 baseline Day 0,Day 0,NPC-OPC-like (all),0.24134970378638274
47,E30 baseline Day 0,Day 0,NPC-neuronal-like,0.015883918605649524
48,E30 baseline Day 0,Day 0,Proliferative,0.26126899630806216
